label, GetName(), Abilities, afterGuard, AT_FIRE, AT_ICE, AT_LIGHTNING, AT_SLASH, AT_STAB, AT_STRIKE, atk, attackse, beforeGuard, conception, description, disablecontinue, dodgeRate, enemy, equiptype, fixedequip, gardse, guardRate, hideMenu, hit, hitse, mechaArts, model, parryse, PRM_Do, PRM_INT, PRM_Ka, PRM_Kin, PRM_Moku, PRM_QUI, PRM_STR, PRM_Sui, PRM_TEC, PRM_VIT, PRM_WIL, role, roleeffect, rsChant, rsConfusion, rsDark, rsDeath, rsParalysis, rsPetri, rsPoison, rsRage, rsStink, rsStun, skipAchievement, slot, sortindex, specialArts, TYPEB_FIRE, TYPEB_HP, TYPEB_ICE, TYPEB_INT, TYPEB_LIGHTNING, TYPEB_QUI, TYPEB_SLASH, TYPEB_STAB, TYPEB_STR, TYPEB_STRIKE, TYPEB_TEC, TYPEB_VIT, TYPEB_VIT, keepMax, name, price, IsSwordType() [personal note: LOL wut??]
WLLSW_OLD_01, Aged Longsword, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 12, SE_BATTLE_WEP_LONGSWORD_SWISH, 0, _NOT_SPECIFIED_, WLLSW_OLD_01_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 34, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a_B, WLLSW12, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 126, _NOT_SPECIFIED_, 1, 20, 1, 2, 1, 2, 4, 3, 4, 3, 2, 2, 2, 0, WLLSW_OLD_01_ItemName, 0, True
WLLSW_OLD_02, Dull Longsword, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 18, SE_BATTLE_WEP_LONGSWORD_SWISH, 0, _NOT_SPECIFIED_, WLLSW_OLD_02_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 34, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a_B, WLLSW12, SE_BATTLE_WEP_LONGSWORD_PARRY, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 127, MAG_MG_C_01_Do01, 2, 35, 2, 3, 2, 3, 7, 5, 5, 5, 3, 3, 3, 0, WLLSW_OLD_02_ItemName, 0, True
WLLSW01_A, Broadsword, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 10, SE_BATTLE_WEP_LONGSWORD_SWISH, 0, _NOT_SPECIFIED_, WLLSW01_A_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 34, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 100, _NOT_SPECIFIED_, 1, 10, 1, 2, 1, 2, 4, 3, 4, 3, 2, 2, 2, 0, WLLSW01_A_ItemName, 0, True
WLLSW01_B, Broadsword +1, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 18, SE_BATTLE_WEP_LONGSWORD_SWISH, 0, _NOT_SPECIFIED_, WLLSW01_B_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 34, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 101, _NOT_SPECIFIED_, 2, 25, 2, 3, 2, 3, 6, 4, 5, 4, 3, 3, 3, 0, WLLSW01_B_ItemName, 0, True
WLLSW01_C, Driftwhale Blade, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 29, SE_BATTLE_WEP_LONGSWORD_SWISH, 1, IDEA_HONOR, WLLSW01_C_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 34, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, ROLE_WEF_AIRHIT, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 131, _NOT_SPECIFIED_, 3, 45, 3, 4, 3, 4, 9, 6, 7, 6, 4, 4, 4, 0, WLLSW01_C_ItemName, 0, True
WLLSW01_D, Driftwhale Blade +1, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 47, SE_BATTLE_WEP_LONGSWORD_SWISH, 1, IDEA_HONOR, WLLSW01_D_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 34, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, ROLE_WEF_AIRHIT, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 132, _NOT_SPECIFIED_, 4, 100, 4, 6, 4, 6, 12, 8, 10, 8, 6, 6, 6, 0, WLLSW01_D_ItemName, 0, True
WLLSW01_L, Lightweight Broadsword, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 1, 0, 0, 0, 0, 0, 0, 10, SE_BATTLE_WEP_LONGSWORD_SWISH, 0, IDEA_GENIUS, WLLSW01_L_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 38, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a_A, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, ROLE_WEF_BP_TURN1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 118, _NOT_SPECIFIED_, 2, 45, 2, 4, 2, 4, 7, 5, 7, 5, 4, 4, 4, 0, WLLSW01_L_ItemName, 0, True
WLLSW01_PURSUIT_A, Pursuant Blade, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 25, SE_BATTLE_WEP_LONGSWORD_SWISH, 1, IDEA_OBEDIENCE, WLLSW01_PURSUIT_A_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 28, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a_A, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, ROLE_WEF_BP_HP1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 123, OHS_WL000_A01_UN1, 2, 45, 2, 4, 2, 4, 7, 5, 7, 5, 4, 4, 4, 0, WLLSW01_PURSUIT_A_ItemName, 0, True
WLLSW01_PURSUIT_B, Pursuant Blade +1, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 43, SE_BATTLE_WEP_LONGSWORD_SWISH, 1, IDEA_OBEDIENCE, WLLSW01_PURSUIT_B_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 28, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a_A, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, ROLE_WEF_BP_HP2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 124, OHS_WL000_A01_UN1, 4, 100, 4, 6, 4, 6, 12, 8, 10, 8, 6, 6, 6, 0, WLLSW01_PURSUIT_B_ItemName, 0, True
WLLSW01_PURSUIT_C, Pursuant Blade +2, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0, 0, 0, 0, 0, 0, 0, 62, SE_BATTLE_WEP_LONGSWORD_SWISH, 1, IDEA_OBEDIENCE, WLLSW01_PURSUIT_C_ItemExp, 0, 0, _NOT_SPECIFIED_, LongSword, 0, SE_BATTLE_WEP_LONGSWORD_GARD, 28, 0, 0, SE_BATTLE_WEP_LONGSWORD_HIT, MCH_M90X_A01a_A, WLLSW01, SE_BATTLE_WEP_LONGSWORD_PARRY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, ROLE_WEF_BP_HP2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Weapon, 125, OHS_WL000_A01_UN1, 5, 145, 5, 8, 5, 8, 15, 10, 13, 10, 8, 8, 8, 0, WLLSW01_PURSUIT_C_ItemName, 0, True
