label, GetActorLabel(), AT_FIRE, AT_ICE, AT_LIGHTNING, AT_SLASH, AT_STAB, AT_STRIKE, description, floating, growGfirearm, growGsword, growHP, growINT, growLfirearm, growLsword, growMagic, growMartial, growMecha_1, growMecha_2, growMonster, growQUI, growSTR, growTEC, growVIT, growWIL, ishero, ismaki, isstack, lprecover, maxhp, maxlp, model, PRM_Do, PRM_INT, PRM_Ka, PRM_Kin, PRM_Moku, PRM_QUI, PRM_STR, PRM_Sui, PRM_TEC, PRM_VIT, PRM_WIL, role, rsParalysis, rsStun,sortindex, specialArts, keepMax, name, price
MBody_Diva_No5, Diva_No5, 5, 5, 30, 5, 5, 5, MBody_Diva_No5_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 100, 13, Diva_No5, -1, 15, -1, -1, -1, 15, 20, -1, 15, 10, 15, ROLE_EF_BP_HP2, 0, 0,0, MCH_Diva, 1, MBody_Diva_No5_ItemName, 0
MBody_Diva_No5_01, Diva_No5_01, 0, 0, 0, 15, 0, 0, MBody_Diva_No5_01_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 90, 10, Diva_No5_01, -1, 10, -1, -1, -1, 15, 15, -1, 5, 10, 20, ROLE_EF_DEFBONUS_010, 0, 0,0, MCH_M901_A01a, 1, MBody_Diva_No5_01_ItemName, 0
MBody_Diva_No5_02, Diva_No5_02, 0, 0, 0, 0, 0, 20, MBody_Diva_No5_02_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 100, 16, Diva_No5_02, -1, 5, -1, -1, -1, 10, 20, -1, 10, 20, 15, ROLE_EF_EXTEND_OA_001, 0, 0,0, MCH_M902_B01a, 1, MBody_Diva_No5_02_ItemName, 0
MBody_Diva_No5_03, Diva_No5_03, 0, 0, 0, 0, 0, 0, MBody_Diva_No5_03_ItemExp, True, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 50, 9, Diva_No5_03, -1, 10, -1, -1, -1, 15, 5, -1, 10, 1, 5, ROLE_EF_MECHASUPPORTARTS_BP_COST_DOWN_1, 0, 0,0, MCH_M903_B01a, 1, MBody_Diva_No5_03_ItemName, 0
MBody_Diva_No5_04, Diva_No5_04, 0, 0, 0, 0, 20, 0, MBody_Diva_No5_04_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 100, 14, Diva_No5_04, -1, 15, -1, -1, -1, 20, 10, -1, 15, 15, 5, ROLE_EF_BUM_UP_1, 0, 0,0, MCH_M904_B01a, 1, MBody_Diva_No5_04_ItemName, 0
MBody_Diva_No5_05, Diva_No5_05, 0, 0, 0, 10, 10, 10, MBody_Diva_No5_05_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 90, 15, Diva_No5_05, -1, 15, -1, -1, -1, 15, 15, -1, 15, 15, 15, ROLE_EF_GUA_DOWN_020, 0, 0,0, MCH_M905_B01a, 1, MBody_Diva_No5_05_ItemName, 0
MBody_Maki_Diva_No5_01, Diva_No5_Maki_01, 0, 0, 0, 15, 0, 0, MBody_Maki_Diva_No5_01_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, True, True, False, 2, 90, 10, Diva_No5_Maki_01, -1, 10, -1, -1, -1, 15, 15, -1, 5, 10, 20, _NOT_SPECIFIED_, 0, 0,0, MCH_M901_A01a, 1, MBody_Maki_Diva_No5_01_ItemName, 0
MBody_Mech_Bard, Mech_Bard, 0, 0, 0, 0, 0, 0, MBody_Mech_Bard_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, False, True, False, 0, 0, 0, Mech_Bard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, 0, 0,0, MCH_M901_A01a, 0, MBody_Mech_Bard_ItemName, 0
MBody_BX10_EX, BX10_EX, 0, 0, 0, 0, 0, 0, MBody_BX10_EX_ItemExp, False, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, False, True, False, 0, 0, 0, BX10_EX, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, 0, 0,0, MCH_M902_B01a, 0, MBody_BX10_EX_ItemName, 0
MBody_Sarab, Sarab, 0, 0, 0, 0, 0, 0, MBody_Sarab_ItemExp, True, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, False, True, False, 0, 0, 0, Sarab, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, 0, 0,0, MCH_M903_B01a, 0, MBody_Sarab_ItemName, 0
