label, GetName(), cantlearn, description, effect, fixedrole, hp, lp, Name, PRM_INT, PRM_QUI, PRM_STR, PRM_TEC, PRM_VIT, PRM_WIL, SLV_Do, SLV_Ka, SLV_Kin, SLV_Moku, SLV_Sui, Sortindex, specialarts, type
SOUL_MUSASHI, Musashi, False, Btl_SOUL_MUSASHI_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_PARD_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, True, 0, 0, Btl_SOUL_MUSASHI_RoleName, -3, -1, 4, 2, 1, 3, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_TOKI, Sukune, False, Btl_SOUL_TOKI_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_SMED_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, True, 0, 0, Btl_SOUL_TOKI_RoleName, 0, 3, 2, 1, 3, -1, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_KOMACHI, Komachi, False, Btl_SOUL_KOMACHI_RoleDescription, ROLE_EF_MAGA_UP_003 ROLE_EF_CNFD_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, True, 0, 0, Btl_SOUL_KOMACHI_RoleName, 3, 1, 0, 2, -2, 2, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_BOU, Boh, False, Btl_SOUL_BOU_RoleDescription, ROLE_EF_TOTA_UP_003 ROLE_EF_STOD_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, True, 0, 0, Btl_SOUL_BOU_RoleName, -1, 2, 2, 4, 0, 2, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0000, Rockeater, False, Btl_SOUL_M0000_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_INTERRUPTDODGE_025 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0000_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0001, Mad Phage, False, Btl_SOUL_M0001_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_INTERRUPTDODGE_050 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0001_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0000_A, Soul
SOUL_M0001_B, Land Hermit, False, Btl_SOUL_M0001_B_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_INTERRUPTDODGE_050 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0001_B_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0000_A, Soul
SOUL_M0002, Forest Hermit, False, Btl_SOUL_M0002_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_INTERRUPTDODGE_075 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0002_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0000_A, Soul
SOUL_M0003, Lightning Glutton, False, Btl_SOUL_M0003_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_INTERRUPTDODGE_075 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0003_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0000_A, Soul
SOUL_M0010, Werewolf, False, Btl_SOUL_M0010_RoleDescription, ROLE_EF_GUA_UP_003 ROLE_EF_HEAD_UP_005 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0010_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0010_A, Soul
