label, NpcLabel, ExhibitItemLabel, ExhibitRank, ExhibitItemNum, BargainItemLabel1, BargainItemNum1, BargainItemLabel2, BargainItemNum2, BargainItemLabel3, BargainItemNum3, RecommendItemLabel, RecommendItemNum, ReleaseFlagLabel, OnlyOnce, Save, SortIndex
EXHIBIT_001, TRADE_NPC_W07, SOZAI_FE_MOKU, 1, 1, SOZAI_FE_SUI, 2, SOZAI_SPIRIT_STONE, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1001
EXHIBIT_002, TRADE_NPC_W07, SOZAI_FE_KA, 1, 1, SOZAI_FE_MOKU, 2, SOZAI_SPIRIT_STONE, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1002
EXHIBIT_003, TRADE_NPC_W07, SOZAI_FE_DO, 1, 1, SOZAI_FE_KA, 2, SOZAI_SPIRIT_STONE, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1003
EXHIBIT_004, TRADE_NPC_W02, SOZAI_FE_KIN, 1, 1, SOZAI_FE_DO, 2, SOZAI_SPIRIT_STONE, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1004
EXHIBIT_005, TRADE_NPC_W07, SOZAI_FE_SUI, 1, 1, SOZAI_FE_KIN, 2, SOZAI_SPIRIT_STONE, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1005
EXHIBIT_006, TRADE_NPC_W07, SOZAI_SPIRIT_STONE, 1, 3, SOZAI_SCRUB, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1006
EXHIBIT_007, TRADE_NPC_W07, SOZAI_FE_MOKU, 2, 2, SOZAI_FE_SUI, 3, SOZAI_FE_KIN, 3, SOZAI_FE_DO, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1007
EXHIBIT_008, TRADE_NPC_W06, SOZAI_FE_KA, 2, 2, SOZAI_FE_MOKU, 3, SOZAI_FE_SUI, 3, SOZAI_FE_KIN, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1008
EXHIBIT_009, TRADE_NPC_W07, SOZAI_FE_DO, 2, 2, SOZAI_FE_KA, 3, SOZAI_FE_MOKU, 3, SOZAI_FE_SUI, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1009
EXHIBIT_010, TRADE_NPC_W02, SOZAI_FE_KIN, 2, 2, SOZAI_FE_DO, 3, SOZAI_FE_KA, 3, SOZAI_FE_MOKU, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1010
EXHIBIT_011, TRADE_NPC_W06, SOZAI_FE_SUI, 2, 2, SOZAI_FE_KIN, 3, SOZAI_FE_DO, 3, SOZAI_FE_KA, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1011
EXHIBIT_012, TRADE_NPC_W07, SOZAI_CRYSTAL_MOKU, 999, 1, SOZAI_CRYSTAL_SUI, 2, SOZAI_CRYSTAL_KIN, 2, SOZAI_CRYSTAL_DO, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1022
EXHIBIT_013, TRADE_NPC_W07, SOZAI_CRYSTAL_KA, 999, 1, SOZAI_CRYSTAL_MOKU, 2, SOZAI_CRYSTAL_SUI, 2, SOZAI_CRYSTAL_KIN, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1023
EXHIBIT_014, TRADE_NPC_W07, SOZAI_CRYSTAL_DO, 999, 1, SOZAI_CRYSTAL_KA, 2, SOZAI_CRYSTAL_MOKU, 2, SOZAI_CRYSTAL_SUI, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1024
EXHIBIT_015, TRADE_NPC_W07, SOZAI_CRYSTAL_KIN, 999, 1, SOZAI_CRYSTAL_DO, 2, SOZAI_CRYSTAL_KA, 2, SOZAI_CRYSTAL_MOKU, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1025
EXHIBIT_016, TRADE_NPC_W07, SOZAI_CRYSTAL_SUI, 999, 1, SOZAI_CRYSTAL_KIN, 2, SOZAI_CRYSTAL_DO, 2, SOZAI_CRYSTAL_KA, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1026
EXHIBIT_017, TRADE_NPC_W06, SOZAI_MULLOCK, 2, 1, SOZAI_SPIRIT_STONE, 3, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1027
EXHIBIT_018, TRADE_NPC_W17, SOZAI_IRON_ORE, 3, 1, SOZAI_SPIRIT_STONE, 10, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, SOZAI_SPIRIT_STONE, 15, _NOT_SPECIFIED_, False, False, 1028
EXHIBIT_019, TRADE_NPC_W17, SOZAI_IRON_ORE, 3, 1, SOZAI_SPIRIT_STONE, 10, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, SOZAI_SPIRIT_STONE, 15, _NOT_SPECIFIED_, False, False, 1029
EXHIBIT_020, TRADE_NPC_W17, SOZAI_IRON_ORE, 4, 1, SOZAI_SPIRIT_STONE, 10, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1030
EXHIBIT_021, TRADE_NPC_W17, SOZAI_IRON_ORE, 5, 1, SOZAI_SPIRIT_STONE, 10, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1031
EXHIBIT_022, TRADE_NPC_W17, SOZAI_MAGIC_STONE, 5, 1, SOZAI_SPIRIT_STONE, 50, SOZAI_IRON_ORE, 6, _NOT_SPECIFIED_, 0, SOZAI_IRON_ORE, 8, _NOT_SPECIFIED_, False, False, 1033
EXHIBIT_023, TRADE_NPC_W17, SOZAI_MAGIC_STONE, 5, 1, SOZAI_SPIRIT_STONE, 50, SOZAI_IRON_ORE, 6, _NOT_SPECIFIED_, 0, SOZAI_IRON_ORE, 8, _NOT_SPECIFIED_, False, False, 1034
EXHIBIT_024, TRADE_NPC_W17, SOZAI_MAGIC_STONE, 6, 1, SOZAI_SPIRIT_STONE, 50, SOZAI_IRON_ORE, 6, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1035
EXHIBIT_025, TRADE_NPC_W17, SOZAI_OBSIDIAN, 7, 1, SOZAI_MAGIC_STONE, 2, SOZAI_IRON_ORE, 15, _NOT_SPECIFIED_, 0, SOZAI_MAGIC_STONE, 3, _NOT_SPECIFIED_, False, False, 1038
EXHIBIT_026, TRADE_NPC_W17, SOZAI_OBSIDIAN, 7, 1, SOZAI_MAGIC_STONE, 2, SOZAI_IRON_ORE, 15, _NOT_SPECIFIED_, 0, SOZAI_MAGIC_STONE, 3, _NOT_SPECIFIED_, False, False, 1040
EXHIBIT_027, TRADE_NPC_W02, SOZAI_NATIVE_SILVER, 4, 1, SOZAI_SPIRIT_STONE, 15, SOZAI_IRON_ORE, 2, _NOT_SPECIFIED_, 0, SOZAI_SPIRIT_STONE, 20, _NOT_SPECIFIED_, False, False, 1041
EXHIBIT_028, TRADE_NPC_W17, SOZAI_METEORITE, 8, 1, SOZAI_OBSIDIAN, 3, SOZAI_OBSIDIAN, 4, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1044
EXHIBIT_029, TRADE_NPC_W10, SOZAI_SUPERALLOY, 999, 1, SOZAI_OBSIDIAN, 10, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, 0, SOZAI_OBSIDIAN, 10, _NOT_SPECIFIED_, False, False, 1045
EXHIBIT_030, TRADE_NPC_W19, SOZAI_FUR, 2, 1, SOZAI_SCRUB, 2, SOZAI_SPIRIT_STONE, 4, SOZAI_FE_SUI, 2, _NOT_SPECIFIED_, 0, _NOT_SPECIFIED_, False, False, 1046
