label, Attack, AttackCount, AddSingleStageDamage, AddOverAttackDamage, BP, Hit, SureHit, Hate, Speed, AfterCasterSpeed, AfterTargetSpeed, Attribute, BaseParameter, BeforeGuard, AfterGuard, OverAttack, OverAttackLeft, OverAttackRight, OverAttackSelf, Bump, Limit, HitArea, Penetration, RaceSlayer, Random, ReserveType, ReserveProb, ReserveCancel, TargetType, TargetParty, Trace, TraceDifficulty, Turn, BaseElement, EffectType, EffectParam, AddEffectSequence, AddEffect, AddEffectParam, DisableSelect
OHS_WL000_A01_EX1, 27, 1, 11, 20, 2, 95, _NOT_SPECIFIED_, 22, 2, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Stun _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 50 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WL000_A01_EX2, 21, 1, 10, 19, 1, 95, _NOT_SPECIFIED_, 20, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, B0/Up_Mg_01, Magic _NOT_SPECIFIED_, 10 _NOT_SPECIFIED_, _NOT_SPECIFIED_
OHS_WL000_A02_EX1, 21, 1, 10, 19, 1, 94, _NOT_SPECIFIED_, 20, -2, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 0, 1, 1, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, HateUp _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WL000_A04_EX1, 30, 1, 11, 9, 2, 95, _NOT_SPECIFIED_, 22, 1, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Qui Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Follow, 100, 0, Other, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WL000_B01_EX1, 33, 1, 12, 21, 3, 95, _NOT_SPECIFIED_, 23, 4, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Qui Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 1, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLLSW_B01_EX1, 33, 1, 12, 21, 3, 95, _NOT_SPECIFIED_, 23, -3, 3, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 2, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLLSW_B02_EX1, 32, 1, 13, 22, 4, 100, _NOT_SPECIFIED_, 23, 1, 4, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Wil, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 3, 1, 2, 0, Air, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, AreaBack, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, AreaBump Stun _NOT_SPECIFIED_ _NOT_SPECIFIED_, 100 25 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLLSW_B03_EX1, 34, 1, 12, 21, 3, 90, _NOT_SPECIFIED_, 24, 4, 3, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 1, 1, 0, 0, Air, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLLSW_B04_EX1, 54, 1, 15, 24, 6, 95, _NOT_SPECIFIED_, 28, -3, 6, 4, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLRAP_A01_EX1, 24, 1, 11, 20, 2, 98, _NOT_SPECIFIED_, 21, 2, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Qui Vit, _NOT_SPECIFIED_, 1, 1, 0, 1, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, HateReset _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
