label, Name, Art:Rank Array
ROLE_001, アタッカー, THS_WH000_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_002, ストライカー, MAR_MA000_A01: 2,  MAR_MA000_A02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_003, ポイントマン, OHG_GL000_A02: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_004, 砲術家, THG_GHFLA_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_005, 氷彫刻家, OHS_WLRAP_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_006, エンジニア, THG_GHELE_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_007, 聡明, THG_GHCHE_A01: 2,  THG_GHELE_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_008, 剣客, OHS_WL000_A01: 2,  OHS_WL000_A02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_009, 頑丈, MAR_MA000_A04: 2,  MAR_MA000_A06: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_010, 動体視力, OHG_GL000_A05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_011, 耐熱の備え, THG_GHBOM_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_012, 防寒の心得, MAR_MA000_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_013, 感電対策, THS_WHGSW_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_014, 博識, THG_GHMAC_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_015, 無神経, THS_WHPSW_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
