label,Attack,AttackCount,AddSingleStageDamage,AddOverAttackDamage,BP,Hit,SureHit,Hate,Weapon,WeaponSub,Speed,AfterCasterSpeed,AfterTargetSpeed,Attribute,BaseParameter,BeforeGuard,AfterGuard,OverAttack,OverAttackLeft,OverAttackRight,OverAttackSelf,Bump,Limit,HitArea,Penetration,RaceSlayer,Random,ReserveType,ReserveProb,ReserveCancel,TargetType,TargetParty,Trace,TraceDifficulty,Turn,BaseElement,EffectType,EffectParam,AddEffectSequence,AddEffect,AddEffectParam,Sequence,DisableSelect,DisableOutActor,DisableOutActorObject
WAIT,0,0,0,0,0,0,0,0,None,None,0,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A01,0,0,0
DEFENSE,0,0,0,0,0,0,0,0,None,None,0,0,6,None None,None None,1,1,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A01,0,0,0
MONSTER_RELEASE,0,0,0,0,1,0,0,0,Monster,None,0,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,None,0,0,Single,Caster,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A01,0,0,0
OHS_WL000_A01,23,1,10,19,1,95,0,21,OneHandedSword,StandardLSword,0,0,0,Slash None,Str Vit,0,0,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A01,0,0,0
OHS_WL000_A02,22,1,10,19,1,94,0,20,OneHandedSword,StandardLSword,-1,0,0,Slash None,Str Vit,0,0,1,1,0,1,1,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A02,0,0,0
OHS_WL000_PROTECT,100,1,12,21,3,0,0,0,OneHandedSword,StandardLSword,0,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,Parry,70,0,Self,Caster,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A01,0,0,0
OHS_WL000_A04,28,1,11,20,2,95,0,22,OneHandedSword,StandardLSword,1,0,0,Slash None,Qui Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WL000_A04,0,0,0
OHS_WL000_B01,45,1,14,23,5,95,0,26,OneHandedSword,StandardLSword,0,5,3,Slash None,Str Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Darkness None None None,50 0 0 0,None,None None,0 0,WL000_B01,0,0,0
OHS_WL000_B01_A,50,1,14,23,5,95,0,28,OneHandedSword,StandardLSword,0,5,3,Slash None,Str Vit,0,0,1,2,2,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,Death None None None,75 0 0 0,None,None None,0 0,WL000_B01,0,0,0
OHS_WLLSW_B01,28,1,11,20,2,95,0,22,OneHandedSword,LongSword,3,2,2,Slash None,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLLSW_B01,0,1,0
