BaseArts,ArtsName,ArtsText,OverAttackFirst,OverAttackLast,BloodArts,InheritArts,Inspiration,Invalid,Magic,MonsterArts,OriginalArts,Rankup,SoulArts
WAIT,Bound,,,,False,False,False,False,Flase,False,False,False,False
DEFENSE,Defend,,,,False,False,False,False,Flase,False,False,False,False
MONSTER_RELEASE,Unleash,(Guaranteed Hit) Consume HP and unleash an absorbed monster.,,,False,False,False,False,Flase,False,False,False,False
OHS_WL000_A01,Eliminate,(Enemy/Single Target/STR),Elim,Inate,False,False,False,False,Flase,False,False,True,False
OHS_WL000_A02,Brusque Slice,(Enemy/Single Target/STR),Brusque,Slice,False,False,True,False,Flase,False,False,True,False
OHS_WL000_PROTECT,Parry,(Self) Nullify damage by deflecting attacks.,Par,Ry,False,False,True,False,Flase,False,False,True,False
OHS_WL000_A04,Cutting Lunge,(Enemy/Single Target/MOB),Cutting,Lunge,False,False,True,False,Flase,False,False,True,False
OHS_WL000_B01,Blood Rage,(Enemy/Single Target/STR) Darkness chance 50%.,Rage,Rage,False,False,False,False,Flase,False,False,True,False
OHS_WL000_B01_A,Blood Rage,(Enemy/Single Target/STR) Sudden death chance 75%.,Rage,Rage,False,False,False,False,Flase,False,False,False,False
OHS_WLLSW_B01,Gale Slash,(Enemy/Single Target/STR),Gale,Gale,False,False,True,False,Flase,False,False,True,False
OHS_WLLSW_B01_A,Sanguine Block,(Enemy/Single Target/STR),Sanguine,Block,False,False,False,False,Flase,False,False,False,False
OHS_WLLSW_B02,Airwave,(Enemy/Back/Antiair/STR) Attack enemies positioned in the back.,Air,Wave,False,False,True,False,Flase,False,False,True,False
OHS_WLLSW_B03,Triple Thrust,(Enemy/Single Target/STR),Triple,Thrust,False,False,True,False,Flase,False,False,True,False
OHS_WLLSW_B04,Life Sprinkler,(Enemy/Single Target/STR),Life,Sprinkler,False,False,True,False,Flase,False,False,True,False
OHS_WLRAP_A01,Crystalline Carve,(Enemy/Single Target/MOB) Remove enmity.,Crystalline,Carve,False,False,True,False,Flase,False,False,True,False
OHS_WLRAP_A02,Shocking Rush,(Enemy/Single Target/MOB) Paralysis chance 25%.,Shocking,Rush,False,False,True,False,Flase,False,False,True,False
OHS_WLRAP_B01,Sword Ballet,(Enemy/All Targets/MOB),Ballet,Ballet,False,False,True,False,Flase,False,False,True,False
OHS_WLRAP_B02,Mega Thrust,(Enemy/Single Target/MOB),Mega,Thrust,False,False,True,False,Flase,False,False,True,False
OHS_WLDAG_A01,Apid Venom,(Enemy/Single Target/DEX) Poison chance 50%.,Apid,Venom,False,False,True,False,Flase,False,False,True,False
OHS_WLDAG_B01,Moonfall Slash,(Enemy/Single Target/DEX),Moonfall,Slash,False,False,True,False,Flase,False,False,True,False
OHS_WLDAG_B02,Backstab,(Enemy/Single Target/MOB) Sudden death chance 25%.,Back,Stab,False,False,True,False,Flase,False,False,True,False
OHS_WLDAG_B03,Kaleidoscope,(Enemy/Single Target/DEX) Stun chance 50%.,Kaleido,Scope,False,False,True,False,Flase,False,False,True,False
OHS_WLAXE_A01,Impact Divide,(Enemy/Single Target/STR),Impact,Divide,False,False,True,False,Flase,False,False,True,False
OHS_WLAXE_B01,Hell's Fury,(Enemy/Single Target/DEX),Hell's,Fury,False,False,True,False,Flase,False,False,True,False
OHS_WLAXE_B02,Four Seasons,(Enemy/Single Target/STR) Distract chance 50%.,Four,Seasons,False,False,True,False,Flase,False,False,True,False
OHS_WLAXE_B03,Reverse Delta,(Enemy/Single Target/STR),Reverse,Delta,False,False,True,False,Flase,False,False,True,False
OHS_WLAXE_B03_EX1_BASE,,,Reverse,Delta,False,False,False,False,Flase,False,False,False,False
OHS_WLTSW_A01,Dual Sunder,(Enemy/Single Target/STR),Dual,Sunder,False,False,False,False,Flase,False,False,True,False
OHS_WLTSW_B01,Dual Whirlwind,(Enemy/Random Target/Antiair/STR),Dual,Whirlwind,False,False,True,False,Flase,False,False,True,False
OHS_WLTSW_B02,Dual Torrent,(Enemy/Single Target/Antiair/DEX),Dual,Torrent,False,False,True,False,Flase,False,False,True,False
THS_WH000_A01,Smash,(Enemy/Single Target/STR),Sma,Sh,False,False,False,False,Flase,False,False,True,False
THS_WH000_A02,Flowing Slash,(Enemy/Single Target/STR) Target attack power -10%.,Flowing,Slash,False,False,True,False,Flase,False,False,True,False
THS_WH000_A02_SOUL_BASE,,,Flowing,Slash,False,False,False,False,Flase,False,False,False,False
THS_WH000_PROTECT,Deflect,(Ally/Other) Take an attack intended for another ally. Reduces damage taken.,De,Flect,False,False,True,False,Flase,False,False,True,False
THS_WH000_A04,Vertical Smash,(Enemy/Single Target/STR) Target defense -10%.,Vertical,Smash,False,False,True,False,Flase,False,False,True,False
THS_WH000_A04_SOUL_BASE,,,Vertical,Smash,False,False,False,False,Flase,False,False,False,False
THS_WH000_B01,Wheel Swing,(Enemy/All Targets/STR),Wheel,Swing,False,False,False,False,Flase,False,False,True,False
THS_WH000_B01_A,Wheel Swing: Death Rattle,(Enemy/All Targets/STR),Death,Rattle,False,False,False,False,Flase,False,False,True,False
THS_WHGSW_A01,Bull Crush,(Enemy/Single Target/STR),Bull,Crush,False,False,True,False,Flase,False,False,True,False
THS_WHGSW_A01_A,Bull Block,(Enemy/Single Target/STR),Bull,Block,False,False,False,False,Flase,False,False,True,False
THS_WHGSW_B01,Jolting Slash,(Enemy/Single Target/STR),Jolting,Slash,False,False,True,False,Flase,False,False,True,False
THS_WHGSW_B02,Absetzen,(Enemy/Single Target/STR) Provoke enemy.,Abse,Tzen,False,False,True,False,Flase,False,False,True,False
THS_WHGSW_B03,Upper Smash,(Enemy/Single Target/STR),Upper,Smash,False,False,True,False,Flase,False,False,True,False
THS_WHGSW_B04,Vandalize,(Enemy/Single Target/STR),Vand,Alize,False,False,True,False,Flase,False,False,True,False
THS_WHSSW_A01,Optical Slash,(Enemy/Single Target/Guaranteed Hit/DEX),Optical,Slash,False,False,True,False,Flase,False,False,True,False
THS_WHSSW_B01,Gravedigger,(Enemy/Single Target/Antiground/STR),Grave,Digger,False,False,True,False,Flase,False,False,True,False
THS_WHSSW_B02,Shadow Reversal,(Enemy/Single Target/Antiair/DEX) Stun chance 50%.,Shadow,Reversal,False,False,True,False,Flase,False,False,True,False
THS_WHSSW_B03,No Rhythm,(Enemy/Single Target/Guaranteed Hit/MOB),No,Rhythm,False,False,True,False,Flase,False,False,True,False
THS_WHSSW_B04,Scattered Petals,(Enemy/Single Target/STR),Scattered,Petals,False,False,True,False,Flase,False,False,True,False
THS_WHSSW_B04_EX1_BASE,,,Scattered,Petals,False,False,False,False,Flase,False,False,False,False
THS_WHPSW_A01,Aim,(Enemy/Single Target/DEX),A,Im,False,False,True,False,Flase,False,False,True,False
THS_WHPSW_A01_EX1_BASE,,,A,Im,False,False,False,False,Flase,False,False,False,False
THS_WHPSW_B01,Discord,(Enemy/Single Target/DEX),Dis,Cord,False,False,True,False,Flase,False,False,True,False
