label,Attack,AttackCount,AddSingleStageDamage,AddOverAttackDamage,BP,Hit,SureHit,Hate,Speed,AfterCasterSpeed,AfterTargetSpeed,Attribute,BaseParameter,BeforeGuard,AfterGuard,OverAttack,OverAttackLeft,OverAttackRight,OverAttackSelf,Bump,Limit,HitArea,Penetration,RaceSlayer,Random,ReserveType,ReserveProb,ReserveCancel,TargetType,TargetParty,Trace,TraceDifficulty,Turn,BaseElement,EffectType,EffectParam,AddEffectSequence,AddEffect,AddEffectParam,DisableSelect
OHS_WL000_A01_EX1,27,1,11,20,2,95, None,22,2,0,0, None  None,Str Vit, None, None,1,0,0,1,0,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None,Stun  None  None  None,50  None  None  None, None, None  None,0 0, None
OHS_WL000_A01_EX2,21,1,10,19,1,95, None,20,0,0,0, None  None,Str Vit, None, None,1,0,0,1,0,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None, None  None  None  None, None  None  None  None,B0/Up_Mg_01,Magic  None,10  None, None
OHS_WL000_A02_EX1,21,1,10,19,1,94, None,20,-2,0,0, None  None,Str Vit, None, None,1,1,0,1,1,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None,HateUp  None  None  None,100  None  None  None, None, None  None,0 0, None
OHS_WL000_A04_EX1,30,1,11,9,2,95, None,22,1,0,0, None  None,Qui Vit, None, None,1,0,0,0,0,0, None, None, None, None,Follow,100,0,Other,Target,0,0,0, None  None  None, None  None  None  None, None  None  None  None, None, None  None,0 0, None
OHS_WL000_B01_EX1,33,1,12,21,3,95, None,23,4,0,0, None  None,Qui Vit, None, None,1,1,1,1,0,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None, None  None  None  None, None  None  None  None, None, None  None,0 0, None
OHS_WLLSW_B01_EX1,33,1,12,21,3,95, None,23,-3,3,3, None  None,Str Vit, None, None,1,2,0,1,0,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None, None  None  None  None, None  None  None  None, None, None  None,0 0, None
OHS_WLLSW_B02_EX1,32,1,13,22,4,100, None,23,1,4,3, None  None,Str Wil, None, None,1,0,3,1,2,0,Air, None, None, None,None,0,0,AreaBack,Target,0,0,0, None  None  None,AreaBump Stun  None  None,100 25  None  None, None, None  None,0 0, None
OHS_WLLSW_B03_EX1,34,1,12,21,3,90, None,24,4,3,3, None  None,Str Vit, None, None,1,1,1,1,0,0,Air, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None, None  None  None  None, None  None  None  None, None, None  None,0 0, None
OHS_WLLSW_B04_EX1,54,1,15,24,6,95, None,28,-3,6,4, None  None,Str Vit, None, None,1,0,0,1,0,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None, None  None  None  None, None  None  None  None, None, None  None,0 0, None
OHS_WLRAP_A01_EX1,24,1,11,20,2,98, None,21,2,0,0, None  None,Qui Vit, None,1,1,0,1,1,0,0, None, None, None, None,None,0,0,Single,Target,0,0,0, None  None  None,HateReset  None  None  None,0  None  None  None, None, None  None,0 0, None
