label,prob,rank,worldidea,enemylabel,equiplabel,haveidea,itemlabel,race,scene,setpattern,sozailabel
IDEA_FIGHT,100,5,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_WILD,25,8,Wild _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_FANTASY,25,8,Fantasy _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_CHAOS,25,8,Chaos _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_MODAN,25,8,Modern _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_NOSTALGY,25,8,Nostalgy _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_SCIENCE,25,8,Science _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_MAGIC,100,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Idea_Magic,_NOT_SPECIFIED_
IDEA_GALE,100,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Idea_Gale,_NOT_SPECIFIED_
IDEA_FIRE,100,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Idea_Fire,_NOT_SPECIFIED_
IDEA_ICE,100,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Idea_Ice,_NOT_SPECIFIED_
IDEA_LIGHTNING,100,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Idea_Lightning,_NOT_SPECIFIED_
IDEA_BOMB,100,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Idea_Bonb,_NOT_SPECIFIED_
IDEA_DEDICATION,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_IDEAL,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_GENIUS,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_HONOR,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_GUARD,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_TRADITION,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_FREE,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
