label,Role,description,Sortindex,keepMax,name,price
SOUL_MUSASHI,SOUL_MUSASHI,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ムサシ,0
SOUL_TOKI,SOUL_TOKI,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スクネ,0
SOUL_KOMACHI,SOUL_KOMACHI,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,コマチ,0
SOUL_BOU,SOUL_BOU,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ボウ,0
SOUL_M0000,SOUL_M0000,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,イワクイ,0
SOUL_M0001,SOUL_M0001,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,マッドファージ,0
SOUL_M0001_B,SOUL_M0001_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,大地の仙人,0
SOUL_M0002,SOUL_M0002,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,森の仙人,0
SOUL_M0003,SOUL_M0003,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,雷喰い,0
SOUL_M0010,SOUL_M0010,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,人狼,0
SOUL_M0011,SOUL_M0011,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ハティ,0
SOUL_M0012,SOUL_M0012,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スコル,0
SOUL_M0020,SOUL_M0020,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,イノシシ武者,0
SOUL_M0021,SOUL_M0021,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,イノシシ猟兵,0
SOUL_M0022,SOUL_M0022,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,イノシシ突撃兵,0
SOUL_M0100,SOUL_M0100,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,セフィラス,0
SOUL_M0101,SOUL_M0101,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,イシュタル,0
SOUL_M0102,SOUL_M0102,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,バルキリー,0
SOUL_M0110,SOUL_M0110,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アースドラゴン,0
SOUL_M0111,SOUL_M0111,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,レッドドラゴン,0
SOUL_M0112,SOUL_M0112,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ブルードラゴン,0
SOUL_M0113,SOUL_M0113,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,グリーンドラゴン,0
SOUL_M0114,SOUL_M0114,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ゴールドドラゴン,0
SOUL_M0115,SOUL_M0115,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ホワイトドラゴン,0
SOUL_M0120,SOUL_M0120,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,プーカ,0
SOUL_M0121,SOUL_M0121,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ラスカル,0
SOUL_M0123,SOUL_M0123,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,プランクスター,0
SOUL_M0210,SOUL_M0210,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ジャンボ・モク,0
SOUL_M0211,SOUL_M0211,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ヤング・モク,0
SOUL_M0212,SOUL_M0212,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エルダー・モク,0
SOUL_M0220,SOUL_M0220,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,サンフラワー,0
SOUL_M0221,SOUL_M0221,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アマランス,0
SOUL_M0222,SOUL_M0222,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アスポデロス,0
SOUL_M0230,SOUL_M0230,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アルラウネ,0
SOUL_M0231,SOUL_M0231,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ガルゲンメンライン,0
SOUL_M0232,SOUL_M0232,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ラヴロマンサー,0
SOUL_M0300,SOUL_M0300,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ヴァイパー,0
SOUL_M0301,SOUL_M0301,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,バジリスク,0
SOUL_M0302,SOUL_M0302,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ラットラー,0
SOUL_M0310,SOUL_M0310,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,バーゲスト,0
SOUL_M0311,SOUL_M0311,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,パッドフット,0
SOUL_M0312,SOUL_M0312,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ファリニシュ,0
SOUL_M0320,SOUL_M0320,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,リザードフォートレス,0
SOUL_M0321,SOUL_M0321,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,リザードタイラント,0
SOUL_M0322,SOUL_M0322,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カーニボア,0
SOUL_M0400,SOUL_M0400,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カエル戦士,0
SOUL_M0401,SOUL_M0401,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カエル闘士,0
SOUL_M0401_B,SOUL_M0401_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,巨鯨の僕,0
SOUL_M0402,SOUL_M0402,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,赤ガエル,0
SOUL_M0403,SOUL_M0403,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エドマ,0
SOUL_M0403_B,SOUL_M0403_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カエル奇術師,0
SOUL_M0410,SOUL_M0410,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クラーケン,0
SOUL_M0411,SOUL_M0411,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ヴェルディグリ,0
SOUL_M0412,SOUL_M0412,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スカウテンタクラー,0
SOUL_M0413,SOUL_M0413,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ガルガンチュア,0
SOUL_M0420,SOUL_M0420,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ブルードレイク,0
SOUL_M0421,SOUL_M0421,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ペトロドレイク,0
SOUL_M0422,SOUL_M0422,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ケルピー,0
SOUL_M0423,SOUL_M0423,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,コカトリス,0
SOUL_M0500,SOUL_M0500,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ゴールデンバウム,0
SOUL_M0501,SOUL_M0501,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ゼラチナスマター,0
SOUL_M0502,SOUL_M0502,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,マイコティックプレデター,0
SOUL_M0510,SOUL_M0510,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,サイコオーガ,0
SOUL_M0511,SOUL_M0511,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,メルトダウナー,0
SOUL_M0512,SOUL_M0512,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ポイゾンマスター,0
SOUL_M0520,SOUL_M0520,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,はにわ,0
SOUL_M0521,SOUL_M0521,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,丘はにわ,0
SOUL_M0522,SOUL_M0522,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,石上はにわ,0
SOUL_M0700,SOUL_M0700,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ゴロゴロムシ,0
