label,text,speaker
SOZAI_SPIRIT_STONE_ItemName,Spirit Stone,UI
SOZAI_SPIRIT_STONE_ItemExp,A stone harboring a spirit's power.,UI
SOZAI_FE_MOKU_ItemName,Wood Crystal,UI
SOZAI_FE_MOKU_ItemExp,A crystal harboring the power of wood.,UI
SOZAI_FE_KA_ItemName,Fire Crystal,UI
SOZAI_FE_KA_ItemExp,A crystal harboring the power of fire.,UI
SOZAI_FE_DO_ItemName,Earth Crystal,UI
SOZAI_FE_DO_ItemExp,A crystal harboring the power of earth.,UI
SOZAI_FE_KIN_ItemName,Metal Crystal,UI
SOZAI_FE_KIN_ItemExp,A crystal harboring the power of metal.,UI
SOZAI_FE_SUI_ItemName,Water Crystal,UI
SOZAI_FE_SUI_ItemExp,A crystal harboring the power of water.,UI
SOZAI_CRYSTAL_MOKU_ItemName,Wood Quartz,UI
SOZAI_CRYSTAL_MOKU_ItemExp,Quartz harboring the power of wood.,UI
SOZAI_CRYSTAL_KA_ItemName,Fire Quartz,UI
SOZAI_CRYSTAL_KA_ItemExp,Quartz harboring the power of fire.,UI
SOZAI_CRYSTAL_DO_ItemName,Earth Quartz,UI
SOZAI_CRYSTAL_DO_ItemExp,Quartz harboring the power of earth.,UI
SOZAI_CRYSTAL_KIN_ItemName,Metal Quartz,UI
SOZAI_CRYSTAL_KIN_ItemExp,Quartz harboring the power of metal.,UI
SOZAI_CRYSTAL_SUI_ItemName,Water Quartz,UI
SOZAI_CRYSTAL_SUI_ItemExp,Quartz harboring the power of water.,UI
SOZAI_MULLOCK_ItemName,Mullock,UI
SOZAI_MULLOCK_ItemExp,A rock fragment.,UI
SOZAI_IRON_ORE_ItemName,Ironstone,UI
SOZAI_IRON_ORE_ItemExp,Iron material used in manufacturing.,UI
SOZAI_MAGIC_STONE_ItemName,Magic Stone,UI
SOZAI_MAGIC_STONE_ItemExp,A stone harboring magical energy.,UI
SOZAI_OBSIDIAN_ItemName,Obsidian,UI
SOZAI_OBSIDIAN_ItemExp,A beautiful stone with a glassy luster.,UI
SOZAI_NATIVE_SILVER_ItemName,Native Silver,UI
SOZAI_NATIVE_SILVER_ItemExp,Silver found in the wild.,UI
SOZAI_METEORITE_ItemName,Meteorite,UI
SOZAI_METEORITE_ItemExp,A stone said to have fallen from the skies.,UI
SOZAI_SUPERALLOY_ItemName,Superalloy,UI
SOZAI_SUPERALLOY_ItemExp,A rigid man-made alloy.,UI
SOZAI_FUR_ItemName,Beast Pelt,UI
SOZAI_FUR_ItemExp,Fur taken from a beast.,UI
SOZAI_MAGICAL_BEAST_FUR_ItemName,Magical Beast's Pelt,UI
SOZAI_MAGICAL_BEAST_FUR_ItemExp,Fur taken from a magical beast.,UI
SOZAI_BIG_BEAST_FUR_ItemName,Great Beast's Pelt,UI
SOZAI_BIG_BEAST_FUR_ItemExp,Fur taken from a great beast.,UI
SOZAI_INSECT_SHELL_ItemName,Insect Carapace,UI
SOZAI_INSECT_SHELL_ItemExp,An insect's shell.,UI
SOZAI_BEAST_BONE_ItemName,Beast Bone,UI
SOZAI_BEAST_BONE_ItemExp,One piece of a beast's skeleton.,UI
SOZAI_MAGICAL_BEAST_BONE_ItemName,Magical Beast's Bone,UI
SOZAI_MAGICAL_BEAST_BONE_ItemExp,One piece of a magical beast's skeleton.,UI
SOZAI_BIG_BEAST_BONE_ItemName,Great Beast's Bone,UI
SOZAI_BIG_BEAST_BONE_ItemExp,One piece of a great beast's skeleton.,UI
SOZAI_BEAST_FANG_ItemName,Beast Fang,UI
SOZAI_BEAST_FANG_ItemExp,A beast's fang.,UI
SOZAI_MAGICAL_BEAST_FANG_ItemName,Magical Beast's Fang,UI
SOZAI_MAGICAL_BEAST_FANG_ItemExp,A magical beast's fang.,UI
SOZAI_BIG_BEAST_FANG_ItemName,Great Beast's Fang,UI
SOZAI_BIG_BEAST_FANG_ItemExp,A great beast's fang.,UI
SOZAI_BEAST_CLAW_ItemName,Beast Claw,UI
SOZAI_BEAST_CLAW_ItemExp,A beast's claw.,UI
SOZAI_MAGICAL_BEAST_CLAW_ItemName,Magical Beast's Claw,UI
SOZAI_MAGICAL_BEAST_CLAW_ItemExp,A magical beast's claw.,UI
SOZAI_BIG_BEAST_CLAW_ItemName,Great Beast's Claw,UI
SOZAI_BIG_BEAST_CLAW_ItemExp,A great beast's claw.,UI
SOZAI_FIBER_ItemName,Fiber,UI
SOZAI_FIBER_ItemExp,Fibrous matter taken from a plant.,UI
SOZAI_SCRUB_ItemName,Shrub,UI
SOZAI_SCRUB_ItemExp,Miscellaneous shrubbery.,UI
SOZAI_HINOKI_ItemName,Cypress,UI
SOZAI_HINOKI_ItemExp,Lumber that's resistant to rot.,UI
SOZAI_OAK_ItemName,Oak,UI
SOZAI_OAK_ItemExp,Lumber that boasts great durability.,UI
SOZAI_COCONUT_ItemName,Coconut,UI
SOZAI_COCONUT_ItemExp,An unripe fruit.,UI
SOZAI_GELATIN_ItemName,Gelatin,UI
SOZAI_GELATIN_ItemExp,A wobbly viscous substance with elasticity.,UI
SOZAI_LIGULATE_FLOWER_ItemName,Ray Floret,UI
SOZAI_LIGULATE_FLOWER_ItemExp,A ligulate flower.,UI
SOZAI_DISK_FLOWER_ItemName,Disc Floret,UI
SOZAI_DISK_FLOWER_ItemExp,A slender tubular flower.,UI
SOZAI_SNAKESKIN_ItemName,Snakeskin,UI
SOZAI_SNAKESKIN_ItemExp,Leather made from the tanned skin of a serpent.,UI
SOZAI_FEATHER_ItemName,Feather,UI
SOZAI_FEATHER_ItemExp,A beautiful feather.,UI
SOZAI_ALURA_ItemName,Alula,UI
SOZAI_ALURA_ItemExp,The stiff feathers of a wing.,UI
SOZAI_SCREAM_ROOT_ItemName,Screamroot,UI
SOZAI_SCREAM_ROOT_ItemExp,The root of a screaming plant.,UI
SOZAI_DEMON_BLOOD_ItemName,Demon Blood,UI
SOZAI_DEMON_BLOOD_ItemExp,Blood from the body of a demon.,UI
SOZAI_ORB_ItemName,Jewel,UI
SOZAI_ORB_ItemExp,A gem thought to ward off misfortune.,UI
SOZAI_SQUID_FIN_ItemName,Squid Fin,UI
SOZAI_SQUID_FIN_ItemExp,A triangular fin.,UI
SOZAI_DRAGON_SCALE_ItemName,Dragon Scale,UI
SOZAI_DRAGON_SCALE_ItemExp,A dragon's scale.,UI
SOZAI_001_ItemName,Pollen,UI
SOZAI_001_ItemExp,A powdery substance emitted by flowers.,UI
SOZAI_002_ItemName,Lela's Pollen,UI
SOZAI_002_ItemExp,A powdery substance emitted by Lela's flower.,UI
SOZAI_003_ItemName,Chup's Pollen,UI
SOZAI_003_ItemExp,A powdery substance emitted by Chup's flower.,UI
SOZAI_004_ItemName,Nana's Pollen,UI
SOZAI_004_ItemExp,A powdery substance emitted by Nana's flower.,UI
SOZAI_005_ItemName,Mother's Pollen,UI
SOZAI_005_ItemExp,A powdery substance emitted by a mother's flower.,UI
