label,text,speaker
Btl_SOUL_MUSASHI_RoleName,Musashi,UI
Btl_SOUL_MUSASHI_RoleDescription,<emoji Slash>Slash Power +3% / Status Ailment Resistance,UI
Btl_SOUL_TOKI_RoleName,Sukune,UI
Btl_SOUL_TOKI_RoleDescription,<emoji Strike>Blunt Power +3% / Status Ailment Resistance,UI
Btl_SOUL_KOMACHI_RoleName,Komachi,UI
Btl_SOUL_KOMACHI_RoleDescription,Spell Power +3% / Status Ailment Resistance,UI
Btl_SOUL_BOU_RoleName,Boh,UI
Btl_SOUL_BOU_RoleDescription,<emoji Stab>Pierce Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0000_RoleName,Rockeater,UI
Btl_SOUL_M0000_RoleDescription,<emoji Slash>Slash Power +3% / Interrupt Evade Chance +25%,UI
Btl_SOUL_M0001_RoleName,Mad Phage,UI
Btl_SOUL_M0001_RoleDescription,<emoji Slash>Slash Power +3% / Interrupt Evade Chance +50%,UI
Btl_SOUL_M0001_B_RoleName,Land Hermit,UI
Btl_SOUL_M0001_B_RoleDescription,<emoji Slash>Slash Power +3% / Interrupt Evade Chance +50%,UI
Btl_SOUL_M0002_RoleName,Forest Hermit,UI
Btl_SOUL_M0002_RoleDescription,<emoji Slash>Slash Power +3% / Interrupt Evade Chance +75%,UI
Btl_SOUL_M0003_RoleName,Lightning Glutton,UI
Btl_SOUL_M0003_RoleDescription,<emoji Slash>Slash Power +3% / Interrupt Evade Chance +75%,UI
Btl_SOUL_M0010_RoleName,Werewolf,UI
Btl_SOUL_M0010_RoleDescription,Block Chance +3% / <emoji Fire>Heat Resistance +5%,UI
Btl_SOUL_M0011_RoleName,Hati,UI
Btl_SOUL_M0011_RoleDescription,Block Chance +3% / <emoji Fire>Heat Resistance +8%,UI
Btl_SOUL_M0012_RoleName,Skoll,UI
Btl_SOUL_M0012_RoleDescription,Block Chance +3% / <emoji Fire>Heat Resistance +10%,UI
Btl_SOUL_M0020_RoleName,War Hog,UI
Btl_SOUL_M0020_RoleDescription,<emoji Strike>Blunt Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0021_RoleName,Boar Infantry,UI
Btl_SOUL_M0021_RoleDescription,<emoji Strike>Blunt Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0022_RoleName,Porcine Charger,UI
Btl_SOUL_M0022_RoleDescription,<emoji Strike>Blunt Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0100_RoleName,Sephira,UI
Btl_SOUL_M0100_RoleDescription,Combo Rate +2% / Accuracy +30%,UI
Btl_SOUL_M0101_RoleName,Ishtar,UI
Btl_SOUL_M0101_RoleDescription,Combo Rate +2% / Accuracy +20%,UI
Btl_SOUL_M0102_RoleName,Valkyrie,UI
Btl_SOUL_M0102_RoleDescription,Combo Rate +1% / Accuracy +10%,UI
Btl_SOUL_M0110_RoleName,Earth Dragon,UI
Btl_SOUL_M0110_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,UI
Btl_SOUL_M0111_RoleName,Red Dragon,UI
Btl_SOUL_M0111_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,UI
Btl_SOUL_M0112_RoleName,Blue Dragon,UI
Btl_SOUL_M0112_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,UI
Btl_SOUL_M0113_RoleName,Dark Forest,UI
Btl_SOUL_M0113_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,UI
Btl_SOUL_M0114_RoleName,Gold Dragon,UI
Btl_SOUL_M0114_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Lightning>Shock Resistance +10%,UI
Btl_SOUL_M0115_RoleName,White Dragon,UI
Btl_SOUL_M0115_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Lightning>Shock Resistance +10%,UI
Btl_SOUL_M0120_RoleName,Puca,UI
Btl_SOUL_M0120_RoleDescription,Spell Power +3%,UI
Btl_SOUL_M0121_RoleName,Rascal,UI
Btl_SOUL_M0121_RoleDescription,<emoji Stab>Pierce Power +2% / Spell Power +3%,UI
Btl_SOUL_M0123_RoleName,Prankster,UI
Btl_SOUL_M0123_RoleDescription,<emoji Stab>Pierce Power +2% / Spell Power +3%,UI
Btl_SOUL_M0210_RoleName,Jumbo Moch,UI
Btl_SOUL_M0210_RoleDescription,<emoji Slash>Slash Power +3%,UI
Btl_SOUL_M0211_RoleName,Young Moch,UI
Btl_SOUL_M0211_RoleDescription,<emoji Slash>Slash Power +3%,UI
Btl_SOUL_M0212_RoleName,Elder Moch,UI
Btl_SOUL_M0212_RoleDescription,<emoji Slash>Slash Power +3%,UI
Btl_SOUL_M0220_RoleName,Sunflower,UI
Btl_SOUL_M0220_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +5%,UI
Btl_SOUL_M0221_RoleName,Amaranth,UI
Btl_SOUL_M0221_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +8%,UI
Btl_SOUL_M0222_RoleName,Asphodelus,UI
Btl_SOUL_M0222_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,UI
Btl_SOUL_M0230_RoleName,Alraune,UI
Btl_SOUL_M0230_RoleDescription,Status Ailment Resistance,UI
Btl_SOUL_M0231_RoleName,Galgenmannlein,UI
Btl_SOUL_M0231_RoleDescription,Status Ailment Resistance,UI
Btl_SOUL_M0232_RoleName,Passionroot,UI
Btl_SOUL_M0232_RoleDescription,Status Ailment Resistance,UI
Btl_SOUL_M0300_RoleName,Viper,UI
Btl_SOUL_M0300_RoleDescription,<emoji Stab>Pierce Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0301_RoleName,Basilisk,UI
Btl_SOUL_M0301_RoleDescription,<emoji Stab>Pierce Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0302_RoleName,Rattler,UI
Btl_SOUL_M0302_RoleDescription,<emoji Stab>Pierce Power +3% / Status Ailment Resistance,UI
Btl_SOUL_M0310_RoleName,Barghest,UI
Btl_SOUL_M0310_RoleDescription,Combo Rate +2% / <emoji Stab>Pierce Resistance +5%,UI
Btl_SOUL_M0311_RoleName,Padfoot,UI
Btl_SOUL_M0311_RoleDescription,Combo Rate +2% / <emoji Stab>Pierce Resistance +8%,UI
Btl_SOUL_M0312_RoleName,Failinis,UI
Btl_SOUL_M0312_RoleDescription,Combo Rate +2% / <emoji Stab>Pierce Resistance +10%,UI
Btl_SOUL_M0320_RoleName,Lizard Fortress,UI
Btl_SOUL_M0320_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Slash>Slash Resistance +5%,UI
Btl_SOUL_M0321_RoleName,Lizard Tyrant,UI
Btl_SOUL_M0321_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Slash>Slash Resistance +8%,UI
Btl_SOUL_M0322_RoleName,Carbonia,UI
Btl_SOUL_M0322_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Slash>Slash Resistance +10%,UI
Btl_SOUL_M0400_RoleName,Rana Warrior,UI
Btl_SOUL_M0400_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +5%,UI
Btl_SOUL_M0401_RoleName,Rana Combatant,UI
Btl_SOUL_M0401_RoleDescription,<emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,UI
