label, text, speaker, autoLineBreak
CharaName_Tsunanori_Mido, Tsunanori Mido,  UI,  0
Hypocoristic_Tsunanori_Mido, Tsunanori,  UI,  0
Caption_Tsunanori_Mido, Miyako Imperial University Student,  UI,  0
Discription_Tsunanori_Mido, Member of a branch family of the famous Mido family and <i>kugutsu</i> puppetmaster.,  UI,  0
CharaSelect_Tsunanori_Mido, Member of a branch family of the famous
Mido family of <i>kugutsu</i> puppetmasters.,  UI,  0
CharaName_Lita_Caryx, Lita Caryx,  UI,  0
Hypocoristic_Lita_Caryx, Lita,  UI,  0
Caption_Lita_Caryx, Blue Witch,  UI,  0
Discription_Lita_Caryx, Daughter of the Blue Sage.,  UI,  0
CharaName_Musashi_Kugutu, Musashi,  UI,  0
Hypocoristic_Musashi_Kugutu, Musashi,  UI,  0
Caption_Musashi_Kugutu, Sword <i>Kugutsu</i>,  UI,  0
Discription_Musashi_Kugutu, A <i>kugutsu</i> imbued with the soul of a swordmaster named Musashi.,  UI,  0
CharaName_Komachi_Kugutu, Komachi,  UI,  0
Hypocoristic_Komachi_Kugutu, Komachi,  UI,  0
Caption_Komachi_Kugutu, Spell <i>Kugutsu</i>,  UI,  0
Discription_Komachi_Kugutu, A <i>kugutsu</i> imbued with the soul of a poet named Komachi.,  UI,  0
CharaName_Bou_Kugutu, Boh,  UI,  0
Hypocoristic_Bou_Kugutu, Boh,  UI,  0
Caption_Bou_Kugutu, Gun <i>Kugutsu</i>,  UI,  0
Discription_Bou_Kugutu, A <i>kugutsu</i> imbued with the soul of a gunslinger named Boh.,  UI,  0
CharaName_Sukune_Kugutu, Sukune,  UI,  0
Hypocoristic_Sukune_Kugutu, Sukune,  UI,  0
Caption_Sukune_Kugutu, Martial Arts <i>Kugutsu</i>,  UI,  0
Discription_Sukune_Kugutu, A <i>kugutsu</i> imbued with the soul of a martial artist named Sukune.,  UI,  0
CharaName_Ameya_Aisling, Ameya Aisling,  UI,  0
Hypocoristic_Ameya_Aisling, Ameya,  UI,  0
Caption_Ameya_Aisling, White Witch,  UI,  0
Discription_Ameya_Aisling, Daughter of the White Sage.,  UI,  0
CharaSelect_Ameya_Aisling, Daughter of the White Sage.
Currently undertaking her Witchterms.,  UI,  0
CharaName_Siugnas_Darkking, Siugnas,  UI,  0
Hypocoristic_Siugnas_Darkking, Siugnas,  UI,  0
Caption_Siugnas_Darkking, Dismal King,  UI,  0
Discription_Siugnas_Darkking, A man who was once the Dismal King. Or perhaps he still is?,  UI,  0
CharaSelect_Siugnas_Darkking, An undying vampire lord.
Has many thralls under his command.,  UI,  0
CharaName_Formina_Franklyn, Formina Franklyn,  UI,  0
Hypocoristic_Formina_Franklyn, Formina,  UI,  0
Caption_Formina_Franklyn, CCPD Officer,  UI,  0
Discription_Formina_Franklyn, Officer with the Capitol City Police Department.,  UI,  0
CharaName_Bonnie_Blair, Bonnie Blair,  UI,  0
Hypocoristic_Bonnie_Blair, Bonnie,  UI,  0
Caption_Bonnie_Blair, CCPD Officer,  UI,  0
Discription_Bonnie_Blair, Officer with the Capitol City Police Department.,  UI,  0
CharaName_John_Angevin, John Angevin,  UI,  0
Hypocoristic_John_Angevin, John,  UI,  0
Caption_John_Angevin, 　,  UI,  0
Discription_John_Angevin, MAG agent.,  UI,  0
CharaName_Diva_No5, Diva No. 5,  UI,  0
Hypocoristic_Diva_No5, D5,  UI,  0
Caption_Diva_No5, Songstress,  UI,  0
Discription_Diva_No5, The latest model in the singing and dancing Diva series of mechs. Serial number D0503.,  UI,  0
CharaSelect_Diva_No5, The latest model in the Diva series
of entertainment mechs.,  UI,  0
CharaName_Dolores, Dolores,  UI,  0
Hypocoristic_Dolores, Dolores,  UI,  0
Caption_Dolores, Maid,  UI,  0
Discription_Dolores, A maid who is intensely loyal to her master, although it is unclear who that might be.,  UI,  0
CharaName_Boudica, Boudica,  UI,  0
Hypocoristic_Boudica, Boudica,  UI,  0
Caption_Boudica, Chief of a Fallen Tribe,  UI,  0
Discription_Boudica, Displayed for Boudica.,  UI,  0
CharaName_Constantine, Constantine,  UI,  0
Hypocoristic_Constantine, Constantine,  UI,  0
Caption_Constantine, National Extradimensional Exploratory Task Force Commander,  UI,  0
Discription_Constantine, Displayed for Constantine.,  UI,  0
CharaName_General_Einherjar, General,  UI,  0
Hypocoristic_General_Einherjar, General,  UI,  0
Caption_General_Einherjar, Unconquerable,  UI,  0
Discription_General_Einherjar, Commander of a warrior band called the Generals.,  UI,  0
CharaName_Brave_Einherjar, Hero,  UI,  0
Hypocoristic_Brave_Einherjar, Hero,  UI,  0
Caption_Brave_Einherjar, Peach Garden Oathsworn,  UI,  0
Discription_Brave_Einherjar, De facto leader of a warrior band called the Generals.,  UI,  0
CharaName_Philosopher_Einherjar, Philosopher,  UI,  0
Hypocoristic_Philosopher_Einherjar, Philosopher,  UI,  0
Caption_Philosopher_Einherjar, And Yet, What Exactly <i>Is</i> a Philosopher?,  UI,  0
Discription_Philosopher_Einherjar, Member of the warrior band called the Generals.,  UI,  0
CharaName_Killer_Einherjar, Lifetaker,  UI,  0
Hypocoristic_Killer_Einherjar, Lifetaker,  UI,  0
Caption_Killer_Einherjar, Your Life Will Be Mine,  UI,  0
Discription_Killer_Einherjar, Member of the warrior band called the Generals.,  UI,  0
CharaName_Ilmurran_Einherjar, Warrior,  UI,  0
Hypocoristic_Ilmurran_Einherjar, Warrior,  UI,  0
Caption_Ilmurran_Einherjar, Am I a Warrior? Well...Yeah?,  UI,  0
Discription_Ilmurran_Einherjar, Member of the warrior band called the Generals.,  UI,  0
CharaName_Champion_Einherjar, Champion,  UI,  0
Hypocoristic_Champion_Einherjar, Champion,  UI,  0
Caption_Champion_Einherjar, Train Yourself for Greater Glory,  UI,  0
Discription_Champion_Einherjar, Member of the warrior band called the Generals.,  UI,  0
CharaName_Meow_Cat, Meow,  UI,  0
Hypocoristic_Meow_Cat, Meow,  UI,  0
Caption_Meow_Cat, Feline Great Beast,  UI,  0
Discription_Meow_Cat, A wild beast that resembles a cat.,  UI,  0
CharaName_Purr_Cat, Purr,  UI,  0
Hypocoristic_Purr_Cat, Purr,  UI,  0
Caption_Purr_Cat, Feline Great Beast,  UI,  0
Discription_Purr_Cat, A wild beast that resembles a cat.,  UI,  0
CharaName_Hiss_Cat, Hiss,  UI,  0
Hypocoristic_Hiss_Cat, Hiss,  UI,  0
Caption_Hiss_Cat, Feline Great Beast,  UI,  0
Discription_Hiss_Cat, A wild beast that resembles a cat.,  UI,  0
CharaName_Blath, Bláth,  UI,  0
Hypocoristic_Blath, Bláth,  UI,  0
Caption_Blath, Plant-Type Ephemeral,  UI,  0
Discription_Blath, A plant-type ephemeral of unknown origin.,  UI,  0
CharaName_Wednesday, Wednesday,  UI,  0
Hypocoristic_Wednesday, Wednesday,  UI,  0
Caption_Wednesday, Armored Warrior,  UI,  0
Discription_Wednesday, A warrior covered from head to toe in battle armor.,  UI,  0
CharaName_BLANK_NAME,  ,  UI,  0
Hypocoristic_BLANK_NAME,  ,  UI,  0
Caption_BLANK_NAME, 　,  UI,  0
Discription_BLANK_NAME, For blank displays.,  UI,  0
CharaName_Unknown_Person, Mysterious Person,  UI,  0
Hypocoristic_Unknown_Person, Mysterious Person,  UI,  0
Caption_Unknown_Person, 　,  UI,  0
Discription_Unknown_Person, Displayed for Mysterious Person.,  UI,  0
CharaName_Strange_Person, Suspicious Person,  UI,  0
Hypocoristic_Strange_Person, Suspicious Person,  UI,  0
Caption_Strange_Person, 　,  UI,  0
Discription_Strange_Person, Displayed for Suspicious Person.,  UI,  0
CharaName_Familiar_Voice, Familiar Voice,  UI,  0
Hypocoristic_Familiar_Voice, Familiar Voice,  UI,  0
Caption_Familiar_Voice, 　,  UI,  0
Discription_Familiar_Voice, Displayed for Familiar Voice.,  UI,  0
CharaName_Memorable_Voice, Memorable Voice,  UI,  0
Hypocoristic_Memorable_Voice, Memorable Voice,  UI,  0
Caption_Memorable_Voice, 　,  UI,  0
Discription_Memorable_Voice, Displayed for Memorable Voice.,  UI,  0
CharaName_Enemy_Figure, Suspicious Figure,  UI,  0
Hypocoristic_Enemy_Figure, Suspicious Figure,  UI,  0
Caption_Enemy_Figure, 　,  UI,  0
Discription_Enemy_Figure, Displayed for enemies such as monsters. Please use it as a general name.,  UI,  0
CharaName_Enemy_Figure2, Watchful Fiend,  UI,  0
Hypocoristic_Enemy_Figure2, Watchful Fiend,  UI,  0
Caption_Enemy_Figure2, 　,  UI,  0
Discription_Enemy_Figure2, Displayed for enemies such as monsters when they're lying in wait.,  UI,  0
CharaName_Information_Staff, Receptionist,  UI,  0
Hypocoristic_Information_Staff, Receptionist,  UI,  0
Caption_Information_Staff, 　,  UI,  0
Discription_Information_Staff, Receptionist.,  UI,  0
CharaName_Man_Overworld, Man from the Heavens,  UI,  0
Hypocoristic_Man_Overworld, Man from the Heavens,  UI,  0
Caption_Man_Overworld, 　,  UI,  0
Discription_Man_Overworld, A man met in the Heavens. Clearly a boss character.,  UI,  0
CharaName_Man_Overworld_Cyber, Quisstatium,  UI,  0
Hypocoristic_Man_Overworld_Cyber, Man from the Heavens,  UI,  0
Caption_Man_Overworld_Cyber, 　,  UI,  0
Discription_Man_Overworld_Cyber, A man met in the Heavens. Clearly a boss character.,  UI,  0
CharaName_CR_Slime, Mysterious Creature,  UI,  0
Hypocoristic_CR_Slime, Mysterious Creature,  UI,  0
Caption_CR_Slime, 　,  UI,  0
Discription_CR_Slime, A mysterious being that inhabits a mysterious space.,  UI,  0
CharaName_Cathedral_Officer, Administrator,  UI,  0
Hypocoristic_Cathedral_Officer, Administrator,  UI,  0
Caption_Cathedral_Officer, 　,  UI,  0
CharaName_Tadamichi_Mido, Tadamichi Mido,  UI,  0
Hypocoristic_Tadamichi_Mido, Tadamichi Mido,  UI,  0
Caption_Tadamichi_Mido, 　,  UI,  0
Discription_Tadamichi_Mido, Tsunanori's uncle.,  UI,  0
CharaName_Masatsuna_Mido, Masatsuna Mido,  UI,  0
Hypocoristic_Masatsuna_Mido, Masatsuna Mido,  UI,  0
Caption_Masatsuna_Mido, 　,  UI,  0
Discription_Masatsuna_Mido, Tsunanori's father.,  UI,  0
CharaName_Tadako_Mido, Tadako Mido,  UI,  0
Hypocoristic_Tadako_Mido, Tadako Mido,  UI,  0
Caption_Tadako_Mido, 　,  UI,  0
Discription_Tadako_Mido, Tsunanori's mother.,  UI,  0
CharaName_Tomoko_Mido, Tomoko Mido,  UI,  0
Hypocoristic_Tomoko_Mido, Tomoko Mido,  UI,  0
Caption_Tomoko_Mido, 　,  UI,  0
Discription_Tomoko_Mido, Tsunanori's little sister. Currently attending high school.,  UI,  0
CharaName_Friend_Tomoko, Tomoko's Friends,  UI,  0
Hypocoristic_Friend_Tomoko, Tomoko's Friends,  UI,  0
Caption_Friend_Tomoko, 　,  UI,  0
Discription_Friend_Tomoko, Tomoko Mido's friends.,  UI,  0
CharaName_Child_Neighbor, Local Child,  UI,  0
Hypocoristic_Child_Neighbor, Local Child,  UI,  0
Caption_Child_Neighbor, 　,  UI,  0
Discription_Child_Neighbor, Displayed for non-specific children.,  UI,  0
CharaName_Yumeha_Izumi, Yumeha Izumi,  UI,  0
Hypocoristic_Yumeha_Izumi, Yumeha,  UI,  0
