label, speaker, text
W13_WRLD_COMM_000_TITLE, UI, The Crowrealm
W13_WRLD_COMM_000_DETAIL, UI, On the other side of the door, you find yourself in a sand-covered world called the Crowrealm.
W13_WRLD_COMM_INITIAL_000_TITLE, UI, Under the Sand
W13_WRLD_COMM_INITIAL_000_DETAIL, UI, The Crowrealm is an apocalyptic desert. Just what is going to happen here?
W13_WRLD_COMM_INITIAL_010_TITLE, UI, Under the Sand
W13_WRLD_COMM_INITIAL_010_DETAIL, UI, The Crowrealm is an apocalyptic desert. What fate awaits you here?
W13_LTXT_COMM_HUMANOID_000_TITLE, UI, Humanoid Robot
W13_LTXT_COMM_HUMANOID_000_DETAIL, UI, A massive humanoid robot. Used as a weapon in an ancient war, its days of walking around are clearly over.
W13_LTXT_COMM_TWOLEGS_000_TITLE, UI, Bipedal Robot
W13_LTXT_COMM_TWOLEGS_000_DETAIL, UI, A massive bipedal robot. Used as a weapon in an ancient war, its days of walking around are clearly over.
W13_LTXT_COMM_FOURLEGS_000_TITLE, UI, Quadruped Robot
W13_LTXT_COMM_FOURLEGS_000_DETAIL, UI, A massive quadruped robot. Used as a weapon in an ancient war, its days of walking around are clearly over.
W13_LTXT_COMM_TANK_000_TITLE, UI, Tank Robot
W13_LTXT_COMM_TANK_000_DETAIL, UI, A massive robot shaped like a tank. Used as a weapon in an ancient war, its days of moving around are clearly over.
W13_LTXT_COMM_INDUSTRIAL_000_TITLE, UI, Industrial Robot
W13_LTXT_COMM_INDUSTRIAL_000_DETAIL, UI, A massive industrial robot. Used as a weapon in an ancient war, its days of moving around are clearly over.
W13_LTXT_COMM_AIRSHIP_000_TITLE, UI, Airship
W13_LTXT_COMM_AIRSHIP_000_DETAIL, UI, This airship ruled the skies during an ancient war. Alas, it seems it will never take to them again.
W13_LTXT_COMM_WARSHIP_000_TITLE, UI, Battleship
W13_LTXT_COMM_WARSHIP_000_DETAIL, UI, This battleship ruled the seas during an ancient war. Alas, it seems it will never sail them again.
W13_LTXT_COMM_FERRY_000_TITLE, UI, Cruise Ship
W13_LTXT_COMM_FERRY_000_DETAIL, UI, This ship carried countless weapons during an ancient war. Clearly it will never do so again.
W13_LTXT_COMM_DIVING_000_TITLE, UI, Submarine
W13_LTXT_COMM_DIVING_000_DETAIL, UI, This submarine ruled the depths during an ancient war. Alas, its days of patrolling the abyss are over.
W13_GIMK_COMM_SANDSTORM01_000_TITLE, UI, Fierce Sandstorm
