label, speaker, text
UI_World_ScanWave, UI, Scan
UI_WrdScanWaveInfo_TubName01, UI, Emerald Vision
UI_WrdScanWaveInfo_TubName02, UI, Direct Warp
UI_WrdScanWaveInfo_MarkOn, UI, Mark
UI_WrdScanWaveInfo_MarkOff, UI, Unmark
UI_WrdScanWaveInfo_Jump, UI, Warp
UI_WrdScanWaveInfo_Cancel, UI, Back
UI_WrdScanWaveInfo_T_SmallInfo, UI, You can't warp to that world right now.
UI_World_ScanWaveUpFloor, UI, Go Up
UI_World_ScanWaveDownFloor, UI, Go Down
UI_World_ScanWaveHoldBtn, UI, <button ScanWave>
UI_WrdBtnText_SaveLoad, UI, <button SaveLoad>
UI_WrdBtnText_MainMenu, UI, <button Menu>
UI_WrdBtnText_Ride, UI, <button Ride>
UI_WrdScanWaveInfo_TubSwitch01, UI, <button TabPrev>
UI_WrdScanWaveInfo_TubSwitch02, UI, <button TabNext>
UI_WrdScanWaveInfo_Title, UI, Scan Results
