label, speaker, text
KEY_ITEM_W02_POWER_KEY_BLA_NAME, UI, Grete's Black Staff
KEY_ITEM_W02_POWER_KEY_BLA_DESCRIPTION, UI, An ebony staff with a carving of a black swan. It's enchanted with water magic.
KEY_ITEM_W02_POWER_KEY_BLA_02_NAME, UI, Grey Staff
KEY_ITEM_W02_POWER_KEY_BLA_02_DESCRIPTION, UI, A magical staff with an eerie aura.
KEY_ITEM_W02_POWER_KEY_RED_01_NAME, UI, Salamander Scale
KEY_ITEM_W02_POWER_KEY_RED_01_DESCRIPTION, UI, A flaming scale of the Salamander. It greatly amplifies the red witches' magical power.
KEY_ITEM_W02_POWER_KEY_RED_02_NAME, UI, Detoxicant
KEY_ITEM_W02_POWER_KEY_RED_02_DESCRIPTION, UI, A detoxifying agent that works well against water-based poisons—the sorts that extinguish flames.
KEY_ITEM_W02_POWER_KEY_RED_03_NAME, UI, Mismatched Fireproof Gloves
KEY_ITEM_W02_POWER_KEY_RED_03_DESCRIPTION, UI, Two fireproof gloves, one from each sister. A different name is embroidered on each.
KEY_ITEM_W02_DISASTER_PIECE_NAME, UI, Calamity Shard
KEY_ITEM_W02_DISASTER_PIECE_DESCRIPTION, UI, A sinister fragment that brings evil to the witches' world.
KEY_ITEM_W03_POISON_BOTTLE_NAME, UI, Bottle of Deadly Poison
KEY_ITEM_W03_POISON_BOTTLE_DESCRIPTION, UI, A bottle of poison obtained from a freed witch.
KEY_ITEM_W12_WOODPILE_NAME, UI, Firewood
KEY_ITEM_W12_WOODPILE_DESCRIPTION, UI, Wood cut into small pieces and bundled.
KEY_ITEM_W12_MATCH_NAME, UI, Matches
KEY_ITEM_W12_MATCH_DESCRIPTION, UI, Strange matches that can thaw ice.
KEY_ITEM_W12_ARTEFACT_NAME, UI, Artifact Piece
KEY_ITEM_W12_ARTEFACT_DESCRIPTION, UI, A piece of an artifact that dates back to the Imperial era.
KEY_ITEM_W10_DISK_NAME, UI, Biochip
KEY_ITEM_W10_DISK_DESCRIPTION, UI, A storage chip to help restore the relic database.
KEY_ITEM_W10_CODE_NAME, UI, Passcode
KEY_ITEM_W10_CODE_DESCRIPTION, UI, A code used to open something...somewhere.
KEY_ITEM_W10_TRIANGLE_NAME, UI, Triangular Scrap
KEY_ITEM_W10_TRIANGLE_DESCRIPTION, UI, A page torn from a book.
KEY_ITEM_W10_KATANA_NAME, UI, Mysterious Sword Fragment (?)
KEY_ITEM_W10_KATANA_DESCRIPTION, UI, This sword seems to have a story behind it.
KEY_ITEM_W10_JEWEL_NAME, UI, Philosopher's Stone Fragment?
KEY_ITEM_W10_JEWEL_DESCRIPTION, UI, Might be a nice accessory, actually.
KEY_ITEM_W10_GIZUMO_NAME, UI, Gizmo Part
KEY_ITEM_W10_GIZUMO_DESCRIPTION, UI, Someone is collecting these.
KEY_ITEM_W10_MAG_DATA_NAME, UI, Label for Relic Specimen 440
KEY_ITEM_W10_MAG_DATA_DESCRIPTION, UI, A label applied to the case for a specimen known as the Beast King.
KEY_ITEM_W10_BOOK_NAME, UI, Page of a Cursed Tome
KEY_ITEM_W10_BOOK_DESCRIPTION, UI, You received this page as a little souvenir.
