label,Status,DamageBonus,DefenseBonus,HitBonus,SuccessRateBonus,TimeLineBonus
Bonus_001,0,0.0,0.0,-1.5,-0.15,-8
Bonus_002,1,0.01,0.0025,-1.4,-0.14,-7
Bonus_003,2,0.02,0.005,-1.3,-0.13,-7
Bonus_004,3,0.03,0.0075,-1.2,-0.12,-6
Bonus_005,4,0.04,0.01,-1.1,-0.11,-6
Bonus_006,5,0.05,0.0125,-1.0,-0.1,-5
Bonus_007,6,0.06,0.015,-0.9,-0.09,-5
Bonus_008,7,0.07,0.0175,-0.8,-0.08,-4
Bonus_009,8,0.08,0.02,-0.7,-0.07,-4
Bonus_010,9,0.09,0.0225,-0.6,-0.06,-3
Bonus_011,10,0.1,0.025,-0.5,-0.05,-3
Bonus_012,11,0.11,0.0275,-0.4,-0.04,-2
Bonus_013,12,0.12,0.03,-0.3,-0.03,-2
Bonus_014,13,0.13,0.0325,-0.2,-0.02,-1
Bonus_015,14,0.14,0.035,-0.1,-0.01,-1
Bonus_016,15,0.15,0.0375,0.0,0.0,0
Bonus_017,16,0.16,0.04,0.1,0.01,0
Bonus_018,17,0.17,0.0425,0.2,0.02,1
Bonus_019,18,0.18,0.045,0.3,0.03,1
Bonus_020,19,0.19,0.0475,0.4,0.04,2
Bonus_021,20,0.2,0.05,0.5,0.05,2
Bonus_022,21,0.21,0.0525,0.6,0.06,3
Bonus_023,22,0.22,0.055,0.7,0.07,3
Bonus_024,23,0.23,0.0575,0.8,0.08,4
Bonus_025,24,0.24,0.06,0.9,0.09,4
Bonus_026,25,0.25,0.0625,1.0,0.1,5
Bonus_027,26,0.26,0.065,1.1,0.11,5
Bonus_028,27,0.27,0.0675,1.2,0.12,6
Bonus_029,28,0.28,0.07,1.3,0.13,6
Bonus_030,29,0.29,0.0725,1.4,0.14,7
Bonus_031,30,0.3,0.075,1.5,0.15,7
Bonus_032,31,0.31,0.0775,1.6,0.16,8
Bonus_033,32,0.32,0.08,1.7,0.17,8
Bonus_034,33,0.33,0.0825,1.8,0.18,9
Bonus_035,34,0.34,0.085,1.9,0.19,9
Bonus_036,35,0.35,0.0875,2.0,0.2,10
Bonus_037,36,0.36,0.09,2.1,0.21,10
Bonus_038,37,0.37,0.0925,2.2,0.22,11
Bonus_039,38,0.38,0.095,2.3,0.23,11
Bonus_040,39,0.39,0.0975,2.4,0.24,12
Bonus_041,40,0.4,0.1,2.5,0.25,12
Bonus_042,41,0.41,0.1025,2.6,0.26,13
Bonus_043,42,0.42,0.105,2.7,0.27,13
Bonus_044,43,0.43,0.1075,2.8,0.28,14
Bonus_045,44,0.44,0.11,2.9,0.29,14
Bonus_046,45,0.45,0.1125,3.0,0.3,15
Bonus_047,46,0.46,0.115,3.1,0.31,15
Bonus_048,47,0.47,0.1175,3.2,0.32,16
Bonus_049,48,0.48,0.12,3.3,0.33,16
Bonus_050,49,0.49,0.1225,3.4,0.34,17
Bonus_051,50,0.5,0.125,3.5,0.35,17
Bonus_052,51,0.51,0.1275,3.6,0.36,18
Bonus_053,52,0.52,0.13,3.7,0.37,18
Bonus_054,53,0.53,0.1325,3.8,0.38,19
Bonus_055,54,0.54,0.135,3.9,0.39,19
Bonus_056,55,0.55,0.1375,4.0,0.4,20
Bonus_057,56,0.56,0.14,4.1,0.41,20
Bonus_058,57,0.57,0.1425,4.2,0.42,21
Bonus_059,58,0.58,0.145,4.3,0.43,21
Bonus_060,59,0.59,0.1475,4.4,0.44,22
Bonus_061,60,0.6,0.15,4.5,0.45,22
Bonus_062,61,0.61,0.1525,4.6,0.46,23
Bonus_063,62,0.62,0.155,4.7,0.47,23
Bonus_064,63,0.63,0.1575,4.8,0.48,24
Bonus_065,64,0.64,0.16,4.9,0.49,24
Bonus_066,65,0.65,0.1625,5.0,0.5,25
Bonus_067,66,0.66,0.165,5.1,0.51,25
Bonus_068,67,0.67,0.1675,5.2,0.52,26
Bonus_069,68,0.68,0.17,5.3,0.53,26
Bonus_070,69,0.69,0.1725,5.4,0.54,27
Bonus_071,70,0.7,0.175,5.5,0.55,27
Bonus_072,71,0.71,0.1775,5.6,0.56,28
Bonus_073,72,0.72,0.18,5.7,0.57,28
Bonus_074,73,0.73,0.1825,5.8,0.58,29
Bonus_075,74,0.74,0.185,5.9,0.59,29
Bonus_076,75,0.75,0.1875,6.0,0.6,30
Bonus_077,76,0.76,0.19,6.1,0.61,30
Bonus_078,77,0.77,0.1925,6.2,0.62,31
Bonus_079,78,0.78,0.195,6.3,0.63,31
Bonus_080,79,0.79,0.1975,6.4,0.64,32
Bonus_081,80,0.8,0.2,6.5,0.65,32
Bonus_082,81,0.81,0.2025,6.6,0.66,33
Bonus_083,82,0.82,0.205,6.7,0.67,33
Bonus_084,83,0.83,0.2075,6.8,0.68,34
Bonus_085,84,0.84,0.21,6.9,0.69,34
Bonus_086,85,0.85,0.2125,7.0,0.7,35
Bonus_087,86,0.86,0.215,7.1,0.71,35
Bonus_088,87,0.87,0.2175,7.2,0.72,36
Bonus_089,88,0.88,0.22,7.3,0.73,36
Bonus_090,89,0.89,0.2225,7.4,0.74,37
Bonus_091,90,0.9,0.225,7.5,0.75,37
