label,GetActorLabel(),Arts,ArtsRoute,AT_Chant,AT_Confusion,AT_Darkness,AT_Death,AT_FIRE,AT_ICE,AT_LIGHTNING,AT_Paralysis,AT_Poison,AT_Rage AT_SLASH,AT_STAB,AT_Stench,AT_Stone AT_STRIKE,AT_Stun,bloodarts,Equip,ExRole,floating,formation,genus,gogyo,growGfirearm,growGsword,growHP,growINT,growLfirearm,growLsword,growMagic,growMartial,growMecha_1,growMecha_2,growMonster,growQUI,growSTR,growTEC,growVIT,growWIL,HP,initisgenus,isgenus,LP,lpRecover,mechabody,PRM_INT,PRM_QUI,PRM_STR,PRM_TEC,PRM_VIT,PRM_WIL,race,Role,SLV_Do,SLV_Gfirearm,SLV_Gsword,SLV_Ka,SLV_Kin,SLV_Lfirearm,SLV_Lsword,SLV_Magic,SLV_Martial,SLV_Mecha_1,SLV_Mecha_2,SLV_Moku,SLV_Monster,SLV_Sui,supportonly,supportRole,uniqueRole,voice,WorldIdea
PC_TsuNoneori_Mido,TsuNoneori_Mido,"['OHS_WL000_A01', 'OHS_WL000_A04', 'MAR_MA000_A01', 'None', 'None', 'None', 'None', 'None']","['Rapier', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHS_WL000_A04_BLD02,"['WLRAP01_A', 'None', 'MACL02_A', 'SAHE01_A', 'SASH01_A', 'None', 'None']","['UNIQUE_ROLE_TsuNoneori', 'None', 'None', 'None', 'None', 'None']",False,BF_001,False,False,15,24,10,5,17,30,15,26,0,0,0,6,6,8,4,8,0,False,True,11,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_021', 'None', 'None', 'None', 'None']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_TsuNoneori,None,PC_TsuNoneori_Mido,"['', 'None', 'None', 'None']"
PC_Ameya_Aisling,Ameya_Aisling,"['MAG_MG_D_01_Ki01', 'MAG_MG_D_02_Ki02', 'MAG_MG_D_03_Ki03', 'MAG_MG_D_04_Ki04', 'MAG_MG_D_05_Ki05', 'None', 'None', 'None']","['LongSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_B01_BLD02,"['None', 'None', 'MARO00_A', 'SAHE01_A', 'SAGL01_A', 'SASH01_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_015,False,False,13,15,5,-1,24,26,30,10,0,0,0,7,4,5,3,9,0,False,True,9,2,None,19,0,0,0,0,0,Witch_girl,"['', 'ROLE_007', 'None', 'None', 'None', 'None']",1,0,0,1,1,0,0,0,0,0,0,0,0,2,False,SUPPORT_ROLE_Ameya_Aisling,None,PC_Ameya_Aisling,"['', 'None', 'None', 'None']"
PC_Siugnas_Darkking,Siugnas_Darkking,"['OHS_WL000_B01_BLD01', 'OHS_WL000_A01', 'OHS_WLLSW_B01', 'OHG_GL000_A01', 'None', 'None', 'None', 'None']","['LongSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHS_WL000_B01_BLD01,"['WLLSW01_A', 'GLONE01_A', 'MACL02_A', 'SAHE26_A', 'SASH01_A', 'SAAC00_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_006,False,False,17,15,1,5,30,28,22,20,0,0,0,5,9,7,1,7,0,False,False,7,1,None,0,0,0,0,0,0,Vampire,"['', 'ROLE_101', 'None', 'None', 'None', 'None']",0,0,0,1,0,0,0,0,0,0,0,2,0,0,False,SUPPORT_ROLE_Siugnas_Darkking,None,PC_Siugnas_Darkking,"['', 'None', 'None', 'None']"
PC_Formina_Franklyn,Formina_Franklyn,"['OHG_GL000_A01', 'OHG_GL000_A02', 'OHG_GL000_B01', 'THG_GH000_A01', 'THG_GHMAC_A01', 'None', 'None', 'None']","['OneHandedGun', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THG_GH000_A03_BLD01,"['GLONE01_A', 'GHMAC01_A', 'MARO00_A', 'SAIN02_A', 'SAAC06_A', 'SASH00_D', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_012,False,False,28,18,8,6,30,13,15,12,0,0,0,5,8,9,6,4,0,False,True,11,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_067', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,SUPPORT_ROLE_Sarab,None,PC_Formina_Franklyn,"['', 'None', 'None', 'None']"
PC_Bonnie_Blair,Bonnie_Blair,"['MAR_MA000_A01', 'MAR_MA000_A02', 'MAR_MA000_A08', 'OHS_WL000_A01', 'OHS_WL000_A02', 'None', 'None', 'None']","['KickArts', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,MAR_MA000_B09_BLD01,"['None', 'WLDAG01_A', 'MACL02_A', 'SAIN10_A', 'SAAC34_A', 'SASH01_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_018,False,False,15,17,16,3,24,26,13,30,0,0,0,8,9,6,7,5,0,False,True,10,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_067', 'None', 'None', 'None', 'None']",1,0,0,2,0,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_Bonnie_Blair,None,PC_Bonnie_Blair,"['', 'None', 'None', 'None']"
PC_Diva_No5,Diva_No5,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",100,100,100,100,0,0,0,0,100,"['100', '0']",0,100,"['100', '0']",0,None,"['WLLSW01_A', 'WLRAP01_A', 'DIVA_SLOT01_RES', 'DIVA_SLOT02_RES', 'DIVA_SLOT03_RES', 'DIVA_SLOT04_RES', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_023,False,False,0,0,-1,-1,0,0,0,0,30,24,17,-1,-1,-1,-1,-1,0,False,False,0,4,MBody_Diva_No5,0,0,0,0,0,0,Maki,"['', 'ROLE_MECHA_BODY_H', 'None', 'None', 'None', 'None']",-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,False,SUPPORT_ROLE_Diva_No5_01,None,PC_Diva_No5,"['', 'None', 'None', 'None']"
PC_Musashi_Kugutu,Musashi_Kugutu,"['THS_WH000_A01', 'THS_WH000_A02', 'THS_WH000_PROTECT', 'THS_WHGSW_A01', 'None', 'None', 'None', 'None']","['GreatSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['WHGSW01_A', 'None', 'MACL01_A', 'SAHE01_A', 'SAGL01_A', 'SASH00_A', 'None']","['None', 'None', 'None', 'SOUL_MUSASHI', 'None', 'None']",False,BF_011,False,False,13,30,13,5,15,26,10,17,0,0,0,4,7,5,5,6,0,False,False,13,1,None,0,0,0,0,0,0,Puppet,"['', 'ROLE_038', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,SUPPORT_ROLE_Musashi,None,PC_Musashi_Kugutu,"['', 'None', 'None', 'None']"
PC_Sukune_Kugutu,Sukune_Kugutu,"['MAR_MA000_A01', 'MAR_MA000_A02', 'MAR_MA000_A04', 'MAR_MA000_A06', 'None', 'None', 'None', 'None']","['StrikeArts', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['None', 'None', 'MACL01_A', 'SAHE01_A', 'SAGL01_A', 'SASH00_A', 'None']","['None', 'None', 'None', 'SOUL_TOKI', 'None', 'None']",False,BF_005,False,False,15,15,15,5,13,17,17,30,0,0,0,6,5,5,6,5,0,False,False,10,1,None,0,0,0,0,0,0,Puppet,"['', 'ROLE_016', 'None', 'None', 'None', 'None']",0,0,0,1,0,0,0,0,0,0,0,2,0,0,False,SUPPORT_ROLE_Sukune,None,PC_Sukune_Kugutu,"['', 'None', 'None', 'None']"
PC_Komachi_Kugutu,Komachi_Kugutu,"['OHS_WL000_A01', 'OHS_WL000_PROTECT', 'OHS_WLDAG_A01', 'OHS_WLDAG_B01', 'MAG_MG_B_01_Ka01', 'None', 'None', 'None']","['Dagger', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['WLDAG01_A', 'None', 'MACL01_A', 'SAHE01_A', 'SAGL01_A', 'SASH00_A', 'None']","['None', 'None', 'None', 'SOUL_KOMACHI', 'None', 'None']",False,BF_004,False,False,15,10,6,7,17,30,26,13,0,0,0,4,5,6,5,5,0,False,False,9,1,None,0,0,0,0,0,0,Puppet,"['', 'ROLE_050', 'None', 'None', 'None', 'None']",2,0,0,3,0,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_Komachi,None,PC_Komachi_Kugutu,"['', 'None', 'None', 'None']"
PC_Bou_Kugutu,Bou_Kugutu,"['OHG_GL000_A01', 'OHG_GL000_A04', 'OHG_GL000_A05', 'OHG_GL000_B01', 'None', 'None', 'None', 'None']","['OneHandedGun', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['GLONE01_A', 'None', 'MACL01_A', 'SAHE01_A', 'SAGL01_A', 'SASH00_A', 'None']","['None', 'None', 'None', 'SOUL_BOU', 'None', 'None']",False,BF_016,False,False,24,17,9,5,30,10,13,15,0,0,0,4,5,7,5,6,0,False,False,10,1,None,0,0,0,0,0,0,Puppet,"['', 'ROLE_045', 'None', 'None', 'None', 'None']",0,0,0,0,2,0,0,0,0,0,0,0,0,1,False,SUPPORT_ROLE_Bou,None,PC_Bou_Kugutu,"['', 'None', 'None', 'None']"
