label,text,speaker
WAIT_ArtsName,Bound,UI
DEFENSE_ArtsName,Defend,UI
MONSTER_RELEASE_ArtsName,Unleash,UI
MONSTER_RELEASE_ArtsExp,(Guaranteed Hit) Consume HP and unleash an absorbed monster.,UI
OHS_WL000_A01_ArtsName,Eliminate,UI
OHS_WL000_A01_ArtsExp,(Enemy/Single Target/STR),UI
OHS_WL000_A01_OverAttackFirst,Elim,UI
OHS_WL000_A01_OverAttackLast,Inate,UI
OHS_WL000_A01_EX1_ArtsName,Knee Split,UI
OHS_WL000_A01_EX1_ArtsExp,(Enemy/Single Target/STR) [Custom Tech] Stun chance 50%.,UI
OHS_WL000_A01_EX1_OverAttackFirst,Knee,UI
OHS_WL000_A01_EX1_OverAttackLast,Split,UI
OHS_WL000_A01_EX2_ArtsName,Focused Split,UI
OHS_WL000_A01_EX2_ArtsExp,(Enemy/Single Target/STR) Own spell power +10%.,UI
OHS_WL000_A01_EX2_OverAttackFirst,Focused,UI
OHS_WL000_A01_EX2_OverAttackLast,Split,UI
OHS_WL000_A01_UN1_ArtsName,Pursuant Slash,UI
OHS_WL000_A01_UN1_ArtsExp,(Enemy/Single Target/MOB),UI
OHS_WL000_A01_UN1_OverAttackFirst,Pursuant,UI
OHS_WL000_A01_UN1_OverAttackLast,Slash,UI
OHS_WL000_A02_ArtsName,Brusque Slice,UI
OHS_WL000_A02_ArtsExp,(Enemy/Single Target/STR),UI
OHS_WL000_A02_OverAttackFirst,Brusque,UI
OHS_WL000_A02_OverAttackLast,Slice,UI
OHS_WL000_A02_EX1_ArtsName,Uncouth Assault,UI
OHS_WL000_A02_EX1_ArtsExp,(Enemy/Single Target/STR) [Custom Tech] Provoke enemy.,UI
OHS_WL000_A02_EX1_OverAttackFirst,Uncouth,UI
OHS_WL000_A02_EX1_OverAttackLast,Assault,UI
OHS_WL000_PROTECT_ArtsName,Parry,UI
OHS_WL000_PROTECT_ArtsExp,(Self) Nullify damage by deflecting attacks.,UI
OHS_WL000_PROTECT_OverAttackFirst,Par,UI
OHS_WL000_PROTECT_OverAttackLast,Ry,UI
OHS_WL000_A04_ArtsName,Cutting Lunge,UI
OHS_WL000_A04_ArtsExp,(Enemy/Single Target/MOB),UI
OHS_WL000_A04_OverAttackFirst,Cutting,UI
OHS_WL000_A04_OverAttackLast,Lunge,UI
OHS_WL000_A04_EX1_ArtsName,Pursuant Blade,UI
OHS_WL000_A04_EX1_ArtsExp,(Enemy/Single Target/MOB) [Custom Tech],UI
OHS_WL000_A04_EX1_OverAttackFirst,Pursuant,UI
OHS_WL000_A04_EX1_OverAttackLast,Blade,UI
OHS_WL000_B01_ArtsName,Blood Rage,UI
OHS_WL000_B01_ArtsExp,(Enemy/Single Target/STR) Darkness chance 50%.,UI
OHS_WL000_B01_OverAttackFirst,Rage,UI
OHS_WL000_B01_OverAttackLast,Rage,UI
OHS_WL000_B01_EX1_ArtsName,Macabre Dance,UI
OHS_WL000_B01_EX1_ArtsExp,(Enemy/Single Target/STR) [Custom Tech] Darkness chance 50%.,UI
OHS_WL000_B01_EX1_OverAttackFirst,Macabre,UI
OHS_WL000_B01_EX1_OverAttackLast,Dance,UI
OHS_WLLSW_B01_ArtsName,Gale Slash,UI
OHS_WLLSW_B01_ArtsExp,(Enemy/Single Target/STR),UI
OHS_WLLSW_B01_OverAttackFirst,Gale,UI
OHS_WLLSW_B01_OverAttackLast,Gale,UI
OHS_WLLSW_B01_EX1_ArtsName,Abiding Blade,UI
OHS_WLLSW_B01_EX1_ArtsExp,(Enemy/Single Target/STR) [Custom Tech],UI
OHS_WLLSW_B01_EX1_OverAttackFirst,Abiding,UI
OHS_WLLSW_B01_EX1_OverAttackLast,Abiding,UI
OHS_WLLSW_B02_ArtsName,Airwave,UI
OHS_WLLSW_B02_ArtsExp,(Enemy/Back/Antiair/STR) Attack enemies positioned in the back.,UI
OHS_WLLSW_B02_OverAttackFirst,Air,UI
OHS_WLLSW_B02_OverAttackLast,Wave,UI
OHS_WLLSW_B02_EX1_ArtsName,Airswell,UI
