label,text,speaker
Btl_E_M0000_A_EnemyName,Rockeater,UI
Btl_E_M0001_A_EnemyName,Mad Phage,UI
Btl_E_M0002_A_EnemyName,Forest Hermit,UI
Btl_E_M0003_A_EnemyName,Lightning Glutton,UI
Btl_E_M0010_A_EnemyName,Werewolf,UI
Btl_E_M0011_A_EnemyName,Hati,UI
Btl_E_M0012_A_EnemyName,Skoll,UI
Btl_E_M0020_A_EnemyName,War Hog,UI
Btl_E_M0021_A_EnemyName,Boar Infantry,UI
Btl_E_M0022_A_EnemyName,Porcine Charger,UI
Btl_E_M0100_A_EnemyName,Sephira,UI
Btl_E_M0101_A_EnemyName,Ishtar,UI
Btl_E_M0102_A_EnemyName,Valkyrie,UI
Btl_E_M0110_A_EnemyName,Earth Dragon,UI
Btl_E_M0111_A_EnemyName,Red Dragon,UI
Btl_E_M0112_A_EnemyName,Blue Dragon,UI
Btl_E_M0113_A_EnemyName,Dark Forest,UI
Btl_E_M0114_A_EnemyName,Gold Dragon,UI
Btl_E_M0120_A_EnemyName,Puca,UI
Btl_E_M0121_A_EnemyName,Rascal,UI
Btl_E_M0123_A_EnemyName,Prankster,UI
Btl_E_M0210_A_EnemyName,Jumbo Moch,UI
Btl_E_M0211_A_EnemyName,Young Moch,UI
Btl_E_M0212_A_EnemyName,Elder Moch,UI
Btl_E_M0220_A_EnemyName,Sunflower,UI
Btl_E_M0221_A_EnemyName,Amaranth,UI
Btl_E_M0222_A_EnemyName,Asphodelus,UI
Btl_E_M0230_A_EnemyName,Alraune,UI
Btl_E_M0231_A_EnemyName,Galgenmannlein,UI
Btl_E_M0232_A_EnemyName,Passionroot,UI
Btl_E_M0300_A_EnemyName,Viper,UI
Btl_E_M0301_A_EnemyName,Basilisk,UI
Btl_E_M0302_A_EnemyName,Rattler,UI
Btl_E_M0310_A_EnemyName,Barghest,UI
Btl_E_M0311_A_EnemyName,Padfoot,UI
Btl_E_M0312_A_EnemyName,Failinis,UI
Btl_E_M0320_A_EnemyName,Lizard Fortress,UI
Btl_E_M0321_A_EnemyName,Lizard Tyrant,UI
Btl_E_M0400_A_EnemyName,Rana Warrior,UI
Btl_E_M0401_A_EnemyName,Rana Combatant,UI
Btl_E_M0402_A_EnemyName,Red Rana,UI
Btl_E_M0403_A_EnemyName,Yedoma,UI
Btl_E_M0404_A_EnemyName,Rana Conjurer,UI
Btl_E_M0420_A_EnemyName,Blue Drake,UI
Btl_E_M0421_A_EnemyName,Petros Drake,UI
Btl_E_M0422_A_EnemyName,Kelpie,UI
Btl_E_M0500_A_EnemyName,Golden Baum,UI
Btl_E_M0501_A_EnemyName,Gelatinous Matter,UI
Btl_E_M0510_A_EnemyName,Psychic Ogre,UI
Btl_E_M0511_A_EnemyName,Disintegrator,UI
Btl_E_M0512_A_EnemyName,Toxin Master,UI
Btl_E_M0700_A_EnemyName,Rumblebug,UI
Btl_E_M0701_A_EnemyName,Grass Masher,UI
Btl_E_M0702_A_EnemyName,Wild Ebony,UI
Btl_E_M0703_A_EnemyName,Beast Eater,UI
Btl_E_M0720_A_EnemyName,Lesser Ant,UI
Btl_E_M0721_A_EnemyName,Greater Ant,UI
Btl_E_M0800_A_EnemyName,Vulture,UI
Btl_E_M0801_A_EnemyName,Songbird,UI
Btl_E_M0802_A_EnemyName,Skydiver,UI
Btl_E_M0803_A_EnemyName,Skytanker,UI
Btl_E_M0810_A_EnemyName,Maggot Ball,UI
Btl_E_M0811_A_EnemyName,Dwarf Star,UI
Btl_E_M0812_A_EnemyName,Sundancer,UI
Btl_E_M0820_A_EnemyName,Decobat,UI
Btl_E_M0821_A_EnemyName,Ashbeak,UI
Btl_E_M0822_A_EnemyName,Melodic Bat,UI
Btl_E_M0900_A_EnemyName,Metal Elemental,UI
Btl_E_M0900_B_EnemyName,Faerie Stone,UI
Btl_E_M0901_A_EnemyName,Water Elemental,UI
Btl_E_M0902_A_EnemyName,Fire Elemental,UI
Btl_E_M0903_A_EnemyName,Nature Elemental,UI
Btl_E_M0904_A_EnemyName,Earth Elemental,UI
Btl_E_M1010_A_EnemyName,Lilith,UI
Btl_E_M1011_A_EnemyName,Succubus,UI
Btl_E_M1012_A_EnemyName,Harpyia,UI
Btl_E_M1020_A_EnemyName,Skeleton,UI
Btl_E_M1021_A_EnemyName,Skeleton Dancer,UI
Btl_E_M1022_A_EnemyName,Vanitas,UI
Btl_E_M1500_A_EnemyName,Stone,UI
Btl_E_M1500_V01_A_EnemyName,Ore,UI
Btl_E_M1500_V01_B_EnemyName,Ore,UI
Btl_E_M1500_V01_C_EnemyName,Ore,UI
Btl_E_M1510_A_EnemyName,Wooden Box,UI
Btl_E_M1520_A_EnemyName,Container,UI
Btl_E_C01_TUTORIAL_MONSTER_EnemyName,Wandering Moch,UI
Btl_E_BOSS_ELEMENT_MOKU_E_EnemyName,Lesser Wood Spirit,UI
Btl_E_BOSS_ELEMENT_MOKU_N_EnemyName,Wood Spirit,UI
Btl_E_BOSS_ELEMENT_MOKU_H_EnemyName,Greater Wood Spirit,UI
Btl_E_BOSS_ELEMENT_MOKU_EnemyName,Divine Wood Spirit,UI
Btl_E_BOSS_ELEMENT_KA_E_EnemyName,Lesser Fire Spirit,UI
Btl_E_BOSS_ELEMENT_KA_N_EnemyName,Fire Spirit,UI
Btl_E_BOSS_ELEMENT_KA_H_EnemyName,Greater Fire Spirit,UI
Btl_E_BOSS_ELEMENT_KA_EnemyName,Divine Fire Spirit,UI
Btl_E_BOSS_ELEMENT_DO_E_EnemyName,Lesser Earth Spirit,UI
Btl_E_BOSS_ELEMENT_DO_N_EnemyName,Earth Spirit,UI
Btl_E_BOSS_ELEMENT_DO_H_EnemyName,Greater Earth Spirit,UI
Btl_E_BOSS_ELEMENT_DO_EnemyName,Divine Earth Spirit,UI
Btl_E_BOSS_ELEMENT_KIN_E_EnemyName,Lesser Metal Spirit,UI
Btl_E_BOSS_ELEMENT_KIN_N_EnemyName,Metal Spirit,UI
Btl_E_BOSS_ELEMENT_KIN_H_EnemyName,Greater Metal Spirit,UI
Btl_E_BOSS_ELEMENT_KIN_EnemyName,Divine Metal Spirit,UI
Btl_E_BOSS_ELEMENT_SUI_E_EnemyName,Lesser Water Spirit,UI
Btl_E_BOSS_ELEMENT_SUI_N_EnemyName,Water Spirit,UI
Btl_E_BOSS_ELEMENT_SUI_H_EnemyName,Greater Water Spirit,UI
Btl_E_BOSS_ELEMENT_SUI_EnemyName,Divine Water Spirit,UI
Btl_E_W12_M0120_A_EnemyName,Buffoon,UI
Btl_E_W15_M0002_A_EnemyName,Anti-Rockeater,UI
Btl_E_W15_M0011_A_EnemyName,Anti-Wolf,UI
Btl_E_W15_M0021_A_EnemyName,Anti-Boa,UI
Btl_E_W15_M0221_A_EnemyName,Anti-Flower,UI
Btl_E_W15_M0303_A_EnemyName,Anti-Viper,UI
Btl_E_W15_M0421_A_EnemyName,Anti-Drake,UI
Btl_E_W15_M0811_A_EnemyName,Anti-Ball,UI
Btl_E_W15_M0720_A_EnemyName,Anti-Ant,UI
Btl_E_W15_M1020_A_EnemyName,Anti-Skeleton,UI
Btl_E_W15_EVAR_ALESSAAGHOST_02_A_EnemyName,Anti-Moch,UI
Btl_E_W15_EVAR_ALESSAAGHOST_03_A_EnemyName,Anti-Whale,UI
Btl_E_W18_M0312_A_EnemyName,Space Barghest,UI
Btl_E_W18_M0403_A_EnemyName,Extraterrestrial Rana,UI
Btl_E_W18_M0511_A_EnemyName,Space Researcher,UI
Btl_E_W18_M0231_A_EnemyName,Space Screamer,UI
Btl_E_W18_M0721_A_EnemyName,Space Ant,UI
Btl_E_W18_M0302_A_EnemyName,Space Slug,UI
Btl_E_W18_M0010_A_EnemyName,Space Wolf,UI
Btl_E_W18_M0420_A_EnemyName,Space Drake,UI
Btl_E_W18_M0900_A_EnemyName,Space Elemental,UI
Btl_E_W18_M9011_A_EnemyName,Space Guard,UI
Btl_E_W18_M9021_A_EnemyName,Space Insector,UI
Btl_E_W18_M9031_A_EnemyName,Space Drone,UI
Btl_E_W18_M9041_A_EnemyName,Space Tank,UI
Btl_E_W18_BOSS_PRESIDENTMECHA_A_EnemyName,Space Jaeger,UI
Btl_E_W18_BOSS_PRESIDENTMON_A_EnemyName,Cosmic Devil,UI
Btl_E_M0403_B_EnemyName,Rana Conjurer,UI
Btl_E_M0410_A_EnemyName,Kraken,UI
Btl_E_M0411_A_EnemyName,Verdigris,UI
Btl_E_M0412_A_EnemyName,Scowl Squid,UI
Btl_E_M0413_A_EnemyName,Gargantua,UI
Btl_E_M0520_A_EnemyName,Haniwa,UI
Btl_E_M0522_A_EnemyName,Hani Stone,UI
Btl_E_M0710_A_EnemyName,Atlach-Nacha,UI
Btl_E_M0711_A_EnemyName,Sanguine Arachnida,UI
Btl_E_M0712_A_EnemyName,Lord Arachnida,UI
Btl_E_M0722_A_EnemyName,Kaiser Ant,UI
Btl_E_M1000_A_EnemyName,Greater Devil,UI
Btl_E_M1001_A_EnemyName,Ifrit,UI
Btl_E_M1002_A_EnemyName,Calcabrina,UI
Btl_E_M1003_A_EnemyName,Malacoda,UI
Btl_E_M2000_A_EnemyName,Kaffaljidhma,UI
Btl_E_M2001_A_EnemyName,Mira,UI
Btl_E_M2002_A_EnemyName,Menkar,UI
Btl_E_M2003_A_EnemyName,Cetus,UI
Btl_E_M2004_A_EnemyName,Diphda,UI
Btl_E_M2100_A_EnemyName,Boreas,UI
