label,text,speaker
WLLSW01_A_ItemName,Broadsword,UI
WLLSW02_A_ItemName,Town Sword,UI
WLLSW03_A_ItemName,Splasher,UI
WLLSW04_A_ItemName,Schiavona,UI
WLLSW05_A_ItemName,Worm Slayer,UI
WLLSW06_A_ItemName,Valeria Heart,UI
WLLSW07_A_ItemName,Rune Sword,UI
WLLSW08_A_ItemName,Triones Blade,UI
WLLSW09_A_ItemName,Dragonscale Blade,UI
WLLSW10_A_ItemName,Levateinn,UI
WLLSW11_A_ItemName,Victor's Blade,UI
WLRAP01_A_ItemName,Fleuret,UI
WLRAP02_A_ItemName,Rapier,UI
WLRAP03_A_ItemName,Estoc,UI
WLRAP04_A_ItemName,Dress Sword,UI
WLRAP05_A_ItemName,Lob Omen,UI
WLRAP06_A_ItemName,Blazing Sword,UI
WLRAP07_A_ItemName,Star of the Down,UI
WLRAP08_A_ItemName,Espada Ropera,UI
WLRAP09_A_ItemName,Joyeuse,UI
WLRAP10_A_ItemName,Sword of Earth,UI
WLRAP11_A_ItemName,Masquerade,UI
WLDAG01_A_ItemName,Khukuri,UI
WLDAG02_A_ItemName,Bladebreaker,UI
WLDAG03_A_ItemName,Steel Dagger,UI
WLDAG04_A_ItemName,Shadow Dagger,UI
WLDAG05_A_ItemName,Queen of Swords,UI
WLDAG06_A_ItemName,Gladius,UI
WLDAG07_A_ItemName,Devil's Dagger,UI
WLDAG08_A_ItemName,Hanger,UI
WLDAG09_A_ItemName,Wyrmbrand,UI
WLDAG10_A_ItemName,Beowulf,UI
WLDAG11_A_ItemName,Lordstar,UI
WLAXE01_A_ItemName,Hand Axe,UI
WLAXE02_A_ItemName,Stone Axe,UI
WLAXE03_A_ItemName,Francisca,UI
WLAXE04_A_ItemName,Berserker Axe,UI
WLAXE05_A_ItemName,Falconwind,UI
WLAXE06_A_ItemName,Bullova,UI
WLAXE07_A_ItemName,Bilqis,UI
WLAXE08_A_ItemName,Earth's Creation,UI
WLAXE09_A_ItemName,Archfiend's Axe,UI
WLAXE10_A_ItemName,Chainsaw,UI
WLAXE11_A_ItemName,Fractionary Shine,UI
WHGSW01_A_ItemName,Zweihander,UI
WHGSW02_A_ItemName,Claymore,UI
WHGSW03_A_ItemName,Faussar,UI
WHGSW04_A_ItemName,Flamberge,UI
WHGSW05_A_ItemName,Galatyn,UI
WHGSW06_A_ItemName,Ice Sword,UI
WHGSW07_A_ItemName,Blue Saber,UI
WHGSW08_A_ItemName,Obsidian Sword,UI
WHGSW09_A_ItemName,Dragonscale Greatsword,UI
WHGSW10_A_ItemName,Dayblade,UI
WHGSW11_A_ItemName,Moonlite,UI
WHSSW01_A_ItemName,Samurai Sword,UI
WHSSW02_A_ItemName,Exorciser,UI
WHSSW03_A_ItemName,Twin Dragon,UI
WHSSW04_A_ItemName,Invincible East,UI
WHSSW05_A_ItemName,Ame-no-Habakiri,UI
WHSSW06_A_ItemName,Gekkabijin,UI
WHSSW07_A_ItemName,Comet Blade,UI
WHSSW08_A_ItemName,Crane Princess,UI
WHSSW09_A_ItemName,Seven-Branched Sword,UI
WHSSW10_A_ItemName,Demonbrand,UI
WHSSW11_A_ItemName,Cinderforge Sword,UI
WHPSW01_A_ItemName,Halberd,UI
WHPSW02_A_ItemName,Naginata,UI
WHPSW03_A_ItemName,Glaive,UI
WHPSW04_A_ItemName,Guisarme,UI
WHPSW05_A_ItemName,Zhanmadao,UI
WHPSW06_A_ItemName,War God's Pike,UI
WHPSW07_A_ItemName,Qinglong Yanyuedao,UI
WHPSW08_A_ItemName,Feather Spear,UI
WHPSW09_A_ItemName,Gae Bolg,UI
WHPSW10_A_ItemName,Nether Malystrix,UI
WHPSW11_A_ItemName,Lohengrin,UI
GLONE01_A_ItemName,Eagle Gun,UI
GLONE02_A_ItemName,Princess Guard,UI
GLONE03_A_ItemName,Duelist's Pistol,UI
GLONE04_A_ItemName,Living Revolver,UI
GLONE05_A_ItemName,Zen Gun,UI
GLONE06_A_ItemName,Behemoth Rifle,UI
GLONE07_A_ItemName,Blundergun,UI
GLONE08_A_ItemName,Queen's Address,UI
GLONE09_A_ItemName,Grimhorn,UI
GLONE10_A_ItemName,Pendragon,UI
GLONE11_A_ItemName,Silver Lily,UI
GLONE12_A_ItemName,Light Rifle,UI
GLONE13_A_ItemName,Blaster Gun,UI
GLONE14_A_ItemName,Vector Ray,UI
GLONE15_A_ItemName,Executor,UI
GLONE16_A_ItemName,Lemuria,UI
GLONE17_A_ItemName,Peach Blossom Spring,UI
GLONE18_A_ItemName,Magellanica,UI
GHMAC01_A_ItemName,Saber Machine Gun,UI
GHMAC02_A_ItemName,Hecaton Heavy Machine Gun,UI
GHFLA01_A_ItemName,Agni Heart,UI
GHFLA02_A_ItemName,Firetrapper,UI
GHELE01_A_ItemName,Lightning Cannon,UI
GHELE02_A_ItemName,Photon Shooter,UI
GHBOM01_A_ItemName,Super Missile,UI
GHBOM02_A_ItemName,Hyperion Bazooka,UI
GHCHE01_A_ItemName,Serpent,UI
GHCHE02_A_ItemName,Hydra,UI
WLLSW01_A_ItemExp,None,UI
WLLSW01_B_ItemExp,None,UI
WLLSW01_C_ItemExp,Antiair,UI
WLLSW01_D_ItemExp,Antiair,UI
WLLSW01_PURSUIT_C_ItemName,Pursuant Blade +2,UI
WLLSW03_A_ItemExp,Raises Enmity,UI
WLLSW03_B_ItemExp,Raises Enmity,UI
WLLSW03_C_ItemExp,Raises Enmity,UI
WLLSW03_D_ItemExp,Raises Enmity,UI
WLLSW04_A_ItemExp,None,UI
WLLSW04_B_ItemExp,None,UI
WLLSW04_C_ItemExp,None,UI
WLLSW04_D_ItemExp,None,UI
WLLSW05_A_ItemExp,Tech Order -1,UI
WLLSW05_B_ItemExp,Tech Order -1,UI
WLLSW07_C_ItemName,Rune Sword +2,UI
WLRAP01_A_ItemExp,None,UI
WLRAP01_B_ItemExp,None,UI
WLRAP01_GUARD_A_ItemExp,None,UI
WLRAP01_GUARD_B_ItemExp,None,UI
WLRAP02_A_ItemExp,None,UI
WLRAP02_B_ItemExp,None,UI
WLRAP02_C_ItemExp,None,UI
WLRAP02_D_ItemExp,None,UI
WLRAP04_A_ItemExp,Combo Rate +2%,UI
WLRAP04_B_ItemExp,Combo Rate +2%,UI
