label,Value,ItemCategory,FreeCategory,FreeCategory2,ExhibitProhibited
SOZAI_SPIRIT_STONE,1,Material,None,None,False
SOZAI_FE_MOKU,2,Material,FE,None,False
SOZAI_FE_KA,2,Material,FE,None,False
SOZAI_FE_DO,2,Material,FE,None,False
SOZAI_FE_KIN,2,Material,FE,None,False
SOZAI_FE_SUI,2,Material,FE,None,False
SOZAI_CRYSTAL_MOKU,6,Material,Crystal,None,False
SOZAI_CRYSTAL_KA,6,Material,Crystal,None,False
SOZAI_CRYSTAL_DO,6,Material,Crystal,None,False
SOZAI_CRYSTAL_KIN,6,Material,Crystal,None,False
SOZAI_CRYSTAL_SUI,6,Material,Crystal,None,False
SOZAI_MULLOCK,2,Material,Stone,None,False
SOZAI_IRON_ORE,3,Material,Stone,None,False
SOZAI_MAGIC_STONE,5,Material,Stone,None,False
SOZAI_OBSIDIAN,7,Material,Stone,None,False
SOZAI_NATIVE_SILVER,4,Material,Stone,Glitter,False
SOZAI_METEORITE,8,Material,Stone,None,False
SOZAI_SUPERALLOY,8,Material,Stone,None,False
SOZAI_FUR,2,Material,None,None,False
SOZAI_MAGICAL_BEAST_FUR,4,Material,None,None,False
SOZAI_BIG_BEAST_FUR,7,Material,None,None,False
SOZAI_INSECT_SHELL,2,Material,None,None,False
SOZAI_BEAST_BONE,2,Material,None,None,False
SOZAI_MAGICAL_BEAST_BONE,4,Material,None,None,False
SOZAI_BIG_BEAST_BONE,7,Material,None,None,False
SOZAI_BEAST_FANG,2,Material,None,None,False
SOZAI_MAGICAL_BEAST_FANG,4,Material,None,None,False
SOZAI_BIG_BEAST_FANG,7,Material,None,None,False
SOZAI_BEAST_CLAW,2,Material,None,None,False
SOZAI_MAGICAL_BEAST_CLAW,4,Material,None,None,False
SOZAI_BIG_BEAST_CLAW,7,Material,None,None,False
SOZAI_FIBER,2,Material,None,None,False
SOZAI_SCRUB,2,Material,None,None,False
SOZAI_HINOKI,4,Material,None,None,False
SOZAI_OAK,6,Material,None,None,False
SOZAI_COCONUT,4,Material,None,None,False
SOZAI_GELATIN,3,Material,None,None,False
SOZAI_LIGULATE_FLOWER,3,Material,None,None,False
SOZAI_DISK_FLOWER,6,Material,None,None,False
SOZAI_SNAKESKIN,2,Material,None,None,False
SOZAI_FEATHER,2,Material,None,None,False
SOZAI_ALURA,2,Material,None,None,False
SOZAI_SCREAM_ROOT,2,Material,None,None,False
SOZAI_DEMON_BLOOD,4,Material,None,None,False
SOZAI_ORB,4,Material,None,Glitter,False
SOZAI_SQUID_FIN,6,Material,None,None,False
SOZAI_DRAGON_SCALE,6,Material,None,None,False
SOZAI_001,2,Material,Pollen,None,False
SOZAI_002,3,Material,Pollen,None,False
SOZAI_003,3,Material,Pollen,None,False
SOZAI_004,3,Material,Pollen,None,False
WLLSW_OLD_01,3,EquipItem,Weapon,None,False
WLLSW_OLD_02,4,EquipItem,Weapon,None,False
WLLSW01_A,3,EquipItem,Weapon,None,False
WLLSW01_B,4,EquipItem,Weapon,None,False
WLLSW01_C,5,EquipItem,Weapon,RareM,False
WLLSW01_D,7,EquipItem,Weapon,RareM,False
WLLSW01_L,5,EquipItem,Weapon,RareM,False
WLLSW01_PURSUIT_A,5,EquipItem,Weapon,RareM,False
WLLSW01_PURSUIT_B,7,EquipItem,Weapon,RareM,False
WLLSW01_PURSUIT_C,9,EquipItem,Weapon,RareM,False
WLLSW02_A,5,EquipItem,Weapon,None,False
WLLSW02_B,6,EquipItem,Weapon,None,False
WLLSW02_C,7,EquipItem,Weapon,None,False
WLLSW02_D,8,EquipItem,Weapon,None,False
WLLSW03_A,5,EquipItem,Weapon,None,False
WLLSW03_B,6,EquipItem,Weapon,None,False
WLLSW03_C,7,EquipItem,Weapon,None,False
WLLSW03_D,8,EquipItem,Weapon,None,False
WLLSW04_A,5,EquipItem,Weapon,None,False
WLLSW04_B,6,EquipItem,Weapon,None,False
WLLSW04_C,7,EquipItem,Weapon,None,False
WLLSW04_D,8,EquipItem,Weapon,None,False
WLLSW05_A,5,EquipItem,Weapon,None,False
WLLSW05_B,6,EquipItem,Weapon,None,False
WLLSW05_C,7,EquipItem,Weapon,None,False
WLLSW05_D,8,EquipItem,Weapon,None,False
WLLSW06_A,7,EquipItem,Weapon,RareM,False
WLLSW07_A,4,EquipItem,Weapon,RareM,False
WLLSW07_B,7,EquipItem,Weapon,RareM,False
