label, text, speaker, autoLineBreak
WAIT_ArtsName, Bound,  UI,  0
DEFENSE_ArtsName, Defend,  UI,  0
MONSTER_RELEASE_ArtsName, Unleash,  UI,  0
MONSTER_RELEASE_ArtsExp, (Guaranteed Hit) Consume HP and unleash an absorbed monster.,  UI,  0
OHS_WL000_A01_ArtsName, Eliminate,  UI,  0
OHS_WL000_A01_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WL000_A01_OverAttackFirst, Elim,  UI,  0
OHS_WL000_A01_OverAttackLast, Inate,  UI,  0
OHS_WL000_A01_EX1_ArtsName, Knee Split,  UI,  0
OHS_WL000_A01_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] Stun chance 50%.,  UI,  0
OHS_WL000_A01_EX1_OverAttackFirst, Knee,  UI,  0
OHS_WL000_A01_EX1_OverAttackLast, Split,  UI,  0
OHS_WL000_A01_EX2_ArtsName, Focused Split,  UI,  0
OHS_WL000_A01_EX2_ArtsExp, (Enemy/Single Target/STR) Own spell power +10%.,  UI,  0
OHS_WL000_A01_EX2_OverAttackFirst, Focused,  UI,  0
OHS_WL000_A01_EX2_OverAttackLast, Split,  UI,  0
OHS_WL000_A01_UN1_ArtsName, Pursuant Slash,  UI,  0
OHS_WL000_A01_UN1_ArtsExp, (Enemy/Single Target/MOB),  UI,  0
OHS_WL000_A01_UN1_OverAttackFirst, Pursuant,  UI,  0
OHS_WL000_A01_UN1_OverAttackLast, Slash,  UI,  0
OHS_WL000_A02_ArtsName, Brusque Slice,  UI,  0
OHS_WL000_A02_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WL000_A02_OverAttackFirst, Brusque,  UI,  0
OHS_WL000_A02_OverAttackLast, Slice,  UI,  0
OHS_WL000_A02_EX1_ArtsName, Uncouth Assault,  UI,  0
OHS_WL000_A02_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] Provoke enemy.,  UI,  0
OHS_WL000_A02_EX1_OverAttackFirst, Uncouth,  UI,  0
OHS_WL000_A02_EX1_OverAttackLast, Assault,  UI,  0
OHS_WL000_PROTECT_ArtsName, Parry,  UI,  0
OHS_WL000_PROTECT_ArtsExp, (Self) Nullify damage by deflecting attacks.,  UI,  0
OHS_WL000_PROTECT_OverAttackFirst, Par,  UI,  0
OHS_WL000_PROTECT_OverAttackLast, Ry,  UI,  0
OHS_WL000_A04_ArtsName, Cutting Lunge,  UI,  0
OHS_WL000_A04_ArtsExp, (Enemy/Single Target/MOB),  UI,  0
OHS_WL000_A04_OverAttackFirst, Cutting,  UI,  0
OHS_WL000_A04_OverAttackLast, Lunge,  UI,  0
OHS_WL000_A04_EX1_ArtsName, Pursuant Blade,  UI,  0
OHS_WL000_A04_EX1_ArtsExp, (Enemy/Single Target/MOB) [Custom Tech] ,  UI,  0
OHS_WL000_A04_EX1_OverAttackFirst, Pursuant,  UI,  0
OHS_WL000_A04_EX1_OverAttackLast, Blade,  UI,  0
OHS_WL000_B01_ArtsName, Blood Rage,  UI,  0
OHS_WL000_B01_ArtsExp, (Enemy/Single Target/STR) Darkness chance 50%.,  UI,  0
OHS_WL000_B01_OverAttackFirst, Rage,  UI,  0
OHS_WL000_B01_OverAttackLast, Rage,  UI,  0
OHS_WL000_B01_EX1_ArtsName, Macabre Dance,  UI,  0
OHS_WL000_B01_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] Darkness chance 50%.,  UI,  0
OHS_WL000_B01_EX1_OverAttackFirst, Macabre,  UI,  0
OHS_WL000_B01_EX1_OverAttackLast, Dance,  UI,  0
OHS_WLLSW_B01_ArtsName, Gale Slash,  UI,  0
OHS_WLLSW_B01_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WLLSW_B01_OverAttackFirst, Gale,  UI,  0
OHS_WLLSW_B01_OverAttackLast, Gale,  UI,  0
OHS_WLLSW_B01_EX1_ArtsName, Abiding Blade,  UI,  0
OHS_WLLSW_B01_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] ,  UI,  0
OHS_WLLSW_B01_EX1_OverAttackFirst, Abiding,  UI,  0
OHS_WLLSW_B01_EX1_OverAttackLast, Abiding,  UI,  0
OHS_WLLSW_B02_ArtsName, Airwave,  UI,  0
OHS_WLLSW_B02_ArtsExp, (Enemy/Back/Antiair/STR) Attack enemies positioned in the back.,  UI,  0
OHS_WLLSW_B02_OverAttackFirst, Air,  UI,  0
OHS_WLLSW_B02_OverAttackLast, Wave,  UI,  0
OHS_WLLSW_B02_EX1_ArtsName, Airswell,  UI,  0
OHS_WLLSW_B02_EX1_ArtsExp, (Enemy/Back/Antiair/STR) [Custom Tech] Attack enemies positioned in the back. Stun chance 25%.,  UI,  0
OHS_WLLSW_B02_EX1_OverAttackFirst, Air,  UI,  0
OHS_WLLSW_B02_EX1_OverAttackLast, Swell,  UI,  0
OHS_WLLSW_B03_ArtsName, Triple Thrust,  UI,  0
OHS_WLLSW_B03_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WLLSW_B03_OverAttackFirst, Triple,  UI,  0
OHS_WLLSW_B03_OverAttackLast, Thrust,  UI,  0
OHS_WLLSW_B03_EX1_ArtsName, Triple Crush,  UI,  0
OHS_WLLSW_B03_EX1_ArtsExp, (Enemy/Single Target/Antiair/STR) [Custom Tech] ,  UI,  0
OHS_WLLSW_B03_EX1_OverAttackFirst, Triple,  UI,  0
OHS_WLLSW_B03_EX1_OverAttackLast, Crush,  UI,  0
OHS_WLLSW_B04_ArtsName, Life Sprinkler,  UI,  0
OHS_WLLSW_B04_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WLLSW_B04_OverAttackFirst, Life,  UI,  0
OHS_WLLSW_B04_OverAttackLast, Sprinkler,  UI,  0
OHS_WLLSW_B04_EX1_ArtsName, Moonless Sky,  UI,  0
OHS_WLLSW_B04_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] ,  UI,  0
OHS_WLLSW_B04_EX1_OverAttackFirst, Moonless,  UI,  0
OHS_WLLSW_B04_EX1_OverAttackLast, Sky,  UI,  0
OHS_WLRAP_A01_ArtsName, Crystalline Carve,  UI,  0
OHS_WLRAP_A01_ArtsExp, (Enemy/Single Target/MOB) Remove enmity.,  UI,  0
OHS_WLRAP_A01_OverAttackFirst, Crystalline,  UI,  0
OHS_WLRAP_A01_OverAttackLast, Carve,  UI,  0
OHS_WLRAP_A01_EX1_ArtsName, Bond Avant,  UI,  0
OHS_WLRAP_A01_EX1_ArtsExp, (Enemy/Single Target/MOB) [Custom Tech] Remove enmity.,  UI,  0
OHS_WLRAP_A01_EX1_OverAttackFirst, Bond,  UI,  0
OHS_WLRAP_A01_EX1_OverAttackLast, Avant,  UI,  0
OHS_WLRAP_A02_ArtsName, Shocking Rush,  UI,  0
OHS_WLRAP_A02_ArtsExp, (Enemy/Single Target/MOB) Paralysis chance 25%.,  UI,  0
OHS_WLRAP_A02_OverAttackFirst, Shocking,  UI,  0
OHS_WLRAP_A02_OverAttackLast, Rush,  UI,  0
OHS_WLRAP_A02_EX1_ArtsName, Dernier Tonnerre,  UI,  0
OHS_WLRAP_A02_EX1_ArtsExp, (Enemy/Single Target/MOB) [Custom Tech] Paralysis chance 50%.,  UI,  0
OHS_WLRAP_A02_EX1_OverAttackFirst, Dernier,  UI,  0
OHS_WLRAP_A02_EX1_OverAttackLast, Tonnerre,  UI,  0
OHS_WLRAP_B01_ArtsName, Sword Ballet,  UI,  0
OHS_WLRAP_B01_ArtsExp, (Enemy/All Targets/MOB),  UI,  0
OHS_WLRAP_B01_OverAttackFirst, Ballet,  UI,  0
OHS_WLRAP_B01_OverAttackLast, Ballet,  UI,  0
OHS_WLRAP_B01_EX1_ArtsName, Battement,  UI,  0
OHS_WLRAP_B01_EX1_ArtsExp, (Enemy/All Targets/MOB) [Custom Tech] ,  UI,  0
OHS_WLRAP_B01_EX1_OverAttackFirst, Batt,  UI,  0
OHS_WLRAP_B01_EX1_OverAttackLast, Ement,  UI,  0
OHS_WLRAP_B02_ArtsName, Mega Thrust,  UI,  0
OHS_WLRAP_B02_ArtsExp, (Enemy/Single Target/MOB),  UI,  0
OHS_WLRAP_B02_OverAttackFirst, Mega,  UI,  0
OHS_WLRAP_B02_OverAttackLast, Thrust,  UI,  0
OHS_WLRAP_B02_EX1_ArtsName, Contre Attaque,  UI,  0
OHS_WLRAP_B02_EX1_ArtsExp, (Enemy/Single Target/Guaranteed Hit/DEX) [Custom Tech] ,  UI,  0
OHS_WLRAP_B02_EX1_OverAttackFirst, Contre,  UI,  0
OHS_WLRAP_B02_EX1_OverAttackLast, Attaque,  UI,  0
OHS_WLDAG_A01_ArtsName, Apid Venom,  UI,  0
OHS_WLDAG_A01_ArtsExp, (Enemy/Single Target/DEX) Poison chance 50%.,  UI,  0
OHS_WLDAG_A01_OverAttackFirst, Apid,  UI,  0
OHS_WLDAG_A01_OverAttackLast, Venom,  UI,  0
OHS_WLDAG_A01_EX1_ArtsName, Startling Venom,  UI,  0
OHS_WLDAG_A01_EX1_ArtsExp, (Enemy/Single Target/DEX) [Custom Tech] Poison chance 75%.,  UI,  0
OHS_WLDAG_A01_EX1_OverAttackFirst, Startling,  UI,  0
OHS_WLDAG_A01_EX1_OverAttackLast, Venom,  UI,  0
OHS_WLDAG_B01_ArtsName, Moonfall Slash,  UI,  0
OHS_WLDAG_B01_ArtsExp, (Enemy/Single Target/DEX),  UI,  0
OHS_WLDAG_B01_OverAttackFirst, Moonfall,  UI,  0
OHS_WLDAG_B01_OverAttackLast, Slash,  UI,  0
OHS_WLDAG_B01_EX1_ArtsName, Solitary Twilight,  UI,  0
OHS_WLDAG_B01_EX1_ArtsExp, (Enemy/Single Target/DEX) [Custom Tech] ,  UI,  0
OHS_WLDAG_B01_EX1_OverAttackFirst, Solitary,  UI,  0
OHS_WLDAG_B01_EX1_OverAttackLast, Twilight,  UI,  0
OHS_WLDAG_B02_ArtsName, Backstab,  UI,  0
OHS_WLDAG_B02_ArtsExp, (Enemy/Single Target/MOB) Sudden death chance 25%.,  UI,  0
OHS_WLDAG_B02_OverAttackFirst, Back,  UI,  0
OHS_WLDAG_B02_OverAttackLast, Stab,  UI,  0
OHS_WLDAG_B02_EX1_ArtsName, Sacrificial Stabbing,  UI,  0
OHS_WLDAG_B02_EX1_ArtsExp, (Enemy/Single Target/Guaranteed Hit/DEX) [Custom Tech] Sudden death chance 25%.,  UI,  0
OHS_WLDAG_B02_EX1_OverAttackFirst, Sacrificial,  UI,  0
OHS_WLDAG_B02_EX1_OverAttackLast, Stab,  UI,  0
OHS_WLDAG_B03_ArtsName, Kaleidoscope,  UI,  0
OHS_WLDAG_B03_ArtsExp, (Enemy/Single Target/DEX) Stun chance 50%.,  UI,  0
OHS_WLDAG_B03_OverAttackFirst, Kaleido,  UI,  0
OHS_WLDAG_B03_OverAttackLast, Scope,  UI,  0
OHS_WLDAG_B03_EX1_ArtsName, Linked Fractals,  UI,  0
OHS_WLDAG_B03_EX1_ArtsExp, (Enemy/Single Target/DEX) [Custom Tech] Stun chance 50%.,  UI,  0
OHS_WLDAG_B03_EX1_OverAttackFirst, Linked,  UI,  0
OHS_WLDAG_B03_EX1_OverAttackLast, Fractals,  UI,  0
OHS_WLAXE_A01_ArtsName, Impact Divide,  UI,  0
OHS_WLAXE_A01_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WLAXE_A01_OverAttackFirst, Impact,  UI,  0
OHS_WLAXE_A01_OverAttackLast, Divide,  UI,  0
OHS_WLAXE_A01_EX1_ArtsName, Tuning Divide,  UI,  0
OHS_WLAXE_A01_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] Own attack power +10%.,  UI,  0
OHS_WLAXE_A01_EX1_OverAttackFirst, Tuning,  UI,  0
OHS_WLAXE_A01_EX1_OverAttackLast, Divide,  UI,  0
OHS_WLAXE_B01_ArtsName, Hell's Fury,  UI,  0
OHS_WLAXE_B01_ArtsExp, (Enemy/Single Target/DEX),  UI,  0
OHS_WLAXE_B01_OverAttackFirst, Hell's,  UI,  0
OHS_WLAXE_B01_OverAttackLast, Fury,  UI,  0
OHS_WLAXE_B01_EX1_ArtsName, Brutal Scarlet,  UI,  0
OHS_WLAXE_B01_EX1_ArtsExp, (Enemy/Single Target/DEX) [Custom Tech] ,  UI,  0
OHS_WLAXE_B01_EX1_OverAttackFirst, Bruta,  UI,  0
OHS_WLAXE_B01_EX1_OverAttackLast, Scarlet,  UI,  0
OHS_WLAXE_B02_ArtsName, Four Seasons,  UI,  0
OHS_WLAXE_B02_ArtsExp, (Enemy/Single Target/STR) Distract chance 50%.,  UI,  0
OHS_WLAXE_B02_OverAttackFirst, Four,  UI,  0
OHS_WLAXE_B02_OverAttackLast, Seasons,  UI,  0
OHS_WLAXE_B02_EX1_ArtsName, Theatrical Gig,  UI,  0
OHS_WLAXE_B02_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] Distract chance 50%. Own spell power +10%.,  UI,  0
OHS_WLAXE_B02_EX1_OverAttackFirst, Theatrical,  UI,  0
OHS_WLAXE_B02_EX1_OverAttackLast, Gig,  UI,  0
OHS_WLAXE_B03_ArtsName, Reverse Delta,  UI,  0
OHS_WLAXE_B03_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WLAXE_B03_OverAttackFirst, Reverse,  UI,  0
OHS_WLAXE_B03_OverAttackLast, Delta,  UI,  0
OHS_WLAXE_B03_EX1_ArtsName, Beat Rush,  UI,  0
OHS_WLAXE_B03_EX1_ArtsExp, (Enemy/Single Target/STR) [Custom Tech] Target speed -8%.,  UI,  0
OHS_WLAXE_B03_EX1_OverAttackFirst, Beat,  UI,  0
OHS_WLAXE_B03_EX1_OverAttackLast, Rush,  UI,  0
OHS_WLTSW_A01_ArtsName, Dual Sunder,  UI,  0
OHS_WLTSW_A01_ArtsExp, (Enemy/Single Target/STR),  UI,  0
OHS_WLTSW_A01_OverAttackFirst, Dual,  UI,  0
OHS_WLTSW_A01_OverAttackLast, Sunder,  UI,  0
OHS_WLTSW_B01_ArtsName, Dual Whirlwind,  UI,  0
OHS_WLTSW_B01_ArtsExp, (Enemy/Random Target/Antiair/STR),  UI,  0
OHS_WLTSW_B01_OverAttackFirst, Dual,  UI,  0
OHS_WLTSW_B01_OverAttackLast, Whirlwind,  UI,  0
