label, text, speaker, autoLineBreak
WLLSW01_A_ItemName, Broadsword,  UI,  0
WLLSW02_A_ItemName, Town Sword,  UI,  0
WLLSW03_A_ItemName, Splasher,  UI,  0
WLLSW04_A_ItemName, Schiavona,  UI,  0
WLLSW05_A_ItemName, Worm Slayer,  UI,  0
WLLSW06_A_ItemName, Valeria Heart,  UI,  0
WLLSW07_A_ItemName, Rune Sword,  UI,  0
WLLSW08_A_ItemName, Triones Blade,  UI,  0
WLLSW09_A_ItemName, Dragonscale Blade,  UI,  0
WLLSW10_A_ItemName, Levateinn,  UI,  0
WLLSW11_A_ItemName, Victor's Blade,  UI,  0
WLRAP01_A_ItemName, Fleuret,  UI,  0
WLRAP02_A_ItemName, Rapier,  UI,  0
WLRAP03_A_ItemName, Estoc,  UI,  0
WLRAP04_A_ItemName, Dress Sword,  UI,  0
WLRAP05_A_ItemName, Lob Omen,  UI,  0
WLRAP06_A_ItemName, Blazing Sword,  UI,  0
WLRAP07_A_ItemName, Star of the Down,  UI,  0
WLRAP08_A_ItemName, Espada Ropera,  UI,  0
WLRAP09_A_ItemName, Joyeuse,  UI,  0
WLRAP10_A_ItemName, Sword of Earth,  UI,  0
WLRAP11_A_ItemName, Masquerade,  UI,  0
WLDAG01_A_ItemName, Khukuri,  UI,  0
WLDAG02_A_ItemName, Bladebreaker,  UI,  0
WLDAG03_A_ItemName, Steel Dagger,  UI,  0
WLDAG04_A_ItemName, Shadow Dagger,  UI,  0
WLDAG05_A_ItemName, Queen of Swords,  UI,  0
WLDAG06_A_ItemName, Gladius,  UI,  0
WLDAG07_A_ItemName, Devil's Dagger,  UI,  0
WLDAG08_A_ItemName, Hanger,  UI,  0
WLDAG09_A_ItemName, Wyrmbrand,  UI,  0
WLDAG10_A_ItemName, Beowulf,  UI,  0
WLDAG11_A_ItemName, Lordstar,  UI,  0
WLAXE01_A_ItemName, Hand Axe,  UI,  0
WLAXE02_A_ItemName, Stone Axe,  UI,  0
WLAXE03_A_ItemName, Francisca,  UI,  0
WLAXE04_A_ItemName, Berserker Axe,  UI,  0
WLAXE05_A_ItemName, Falconwind,  UI,  0
WLAXE06_A_ItemName, Bullova,  UI,  0
WLAXE07_A_ItemName, Bilqis,  UI,  0
WLAXE08_A_ItemName, Earth's Creation,  UI,  0
WLAXE09_A_ItemName, Archfiend's Axe,  UI,  0
WLAXE10_A_ItemName, Chainsaw,  UI,  0
WLAXE11_A_ItemName, Fractionary Shine,  UI,  0
WHGSW01_A_ItemName, Zweihander,  UI,  0
WHGSW02_A_ItemName, Claymore,  UI,  0
WHGSW03_A_ItemName, Faussar,  UI,  0
WHGSW04_A_ItemName, Flamberge,  UI,  0
WHGSW05_A_ItemName, Galatyn,  UI,  0
WHGSW06_A_ItemName, Ice Sword,  UI,  0
WHGSW07_A_ItemName, Blue Saber,  UI,  0
WHGSW08_A_ItemName, Obsidian Sword,  UI,  0
WHGSW09_A_ItemName, Dragonscale Greatsword,  UI,  0
WHGSW10_A_ItemName, Dayblade,  UI,  0
WHGSW11_A_ItemName, Moonlite,  UI,  0
WHSSW01_A_ItemName, Samurai Sword,  UI,  0
WHSSW02_A_ItemName, Exorciser,  UI,  0
WHSSW03_A_ItemName, Twin Dragon,  UI,  0
WHSSW04_A_ItemName, Invincible East,  UI,  0
WHSSW05_A_ItemName, Ame-no-Habakiri,  UI,  0
WHSSW06_A_ItemName, Gekkabijin,  UI,  0
WHSSW07_A_ItemName, Comet Blade,  UI,  0
WHSSW08_A_ItemName, Crane Princess,  UI,  0
WHSSW09_A_ItemName, Seven-Branched Sword,  UI,  0
WHSSW10_A_ItemName, Demonbrand,  UI,  0
WHSSW11_A_ItemName, Cinderforge Sword,  UI,  0
WHPSW01_A_ItemName, Halberd,  UI,  0
WHPSW02_A_ItemName, Naginata,  UI,  0
WHPSW03_A_ItemName, Glaive,  UI,  0
WHPSW04_A_ItemName, Guisarme,  UI,  0
WHPSW05_A_ItemName, Zhanmadao,  UI,  0
WHPSW06_A_ItemName, War God's Pike,  UI,  0
WHPSW07_A_ItemName, Qinglong Yanyuedao,  UI,  0
WHPSW08_A_ItemName, Feather Spear,  UI,  0
WHPSW09_A_ItemName, Gae Bolg,  UI,  0
WHPSW10_A_ItemName, Nether Malystrix,  UI,  0
WHPSW11_A_ItemName, Lohengrin,  UI,  0
GLONE01_A_ItemName, Eagle Gun,  UI,  0
GLONE02_A_ItemName, Princess Guard,  UI,  0
GLONE03_A_ItemName, Duelist's Pistol,  UI,  0
GLONE04_A_ItemName, Living Revolver,  UI,  0
GLONE05_A_ItemName, Zen Gun,  UI,  0
GLONE06_A_ItemName, Behemoth Rifle,  UI,  0
GLONE07_A_ItemName, Blundergun,  UI,  0
GLONE08_A_ItemName, Queen's Address,  UI,  0
GLONE09_A_ItemName, Grimhorn,  UI,  0
GLONE10_A_ItemName, Pendragon,  UI,  0
GLONE11_A_ItemName, Silver Lily,  UI,  0
GLONE12_A_ItemName, Light Rifle,  UI,  0
GLONE13_A_ItemName, Blaster Gun,  UI,  0
GLONE14_A_ItemName, Vector Ray,  UI,  0
GLONE15_A_ItemName, Executor,  UI,  0
GLONE16_A_ItemName, Lemuria,  UI,  0
GLONE17_A_ItemName, Peach Blossom Spring,  UI,  0
GLONE18_A_ItemName, Magellanica,  UI,  0
GHMAC01_A_ItemName, Saber Machine Gun,  UI,  0
