label, text, speaker, autoLineBreak
SOZAI_SPIRIT_STONE_ItemName, Spirit Stone,  UI,  0
SOZAI_SPIRIT_STONE_ItemExp, A stone harboring a spirit's power.,  UI,  0
SOZAI_FE_MOKU_ItemName, Wood Crystal,  UI,  0
SOZAI_FE_MOKU_ItemExp, A crystal harboring the power of wood.,  UI,  0
SOZAI_FE_KA_ItemName, Fire Crystal,  UI,  0
SOZAI_FE_KA_ItemExp, A crystal harboring the power of fire.,  UI,  0
SOZAI_FE_DO_ItemName, Earth Crystal,  UI,  0
SOZAI_FE_DO_ItemExp, A crystal harboring the power of earth.,  UI,  0
SOZAI_FE_KIN_ItemName, Metal Crystal,  UI,  0
SOZAI_FE_KIN_ItemExp, A crystal harboring the power of metal.,  UI,  0
SOZAI_FE_SUI_ItemName, Water Crystal,  UI,  0
SOZAI_FE_SUI_ItemExp, A crystal harboring the power of water.,  UI,  0
SOZAI_CRYSTAL_MOKU_ItemName, Wood Quartz,  UI,  0
SOZAI_CRYSTAL_MOKU_ItemExp, Quartz harboring the power of wood.,  UI,  0
SOZAI_CRYSTAL_KA_ItemName, Fire Quartz,  UI,  0
SOZAI_CRYSTAL_KA_ItemExp, Quartz harboring the power of fire.,  UI,  0
SOZAI_CRYSTAL_DO_ItemName, Earth Quartz,  UI,  0
SOZAI_CRYSTAL_DO_ItemExp, Quartz harboring the power of earth.,  UI,  0
SOZAI_CRYSTAL_KIN_ItemName, Metal Quartz,  UI,  0
SOZAI_CRYSTAL_KIN_ItemExp, Quartz harboring the power of metal.,  UI,  0
SOZAI_CRYSTAL_SUI_ItemName, Water Quartz,  UI,  0
SOZAI_CRYSTAL_SUI_ItemExp, Quartz harboring the power of water.,  UI,  0
SOZAI_MULLOCK_ItemName, Mullock,  UI,  0
SOZAI_MULLOCK_ItemExp, A rock fragment.,  UI,  0
SOZAI_IRON_ORE_ItemName, Ironstone,  UI,  0
SOZAI_IRON_ORE_ItemExp, Iron material used in manufacturing.,  UI,  0
SOZAI_MAGIC_STONE_ItemName, Magic Stone,  UI,  0
SOZAI_MAGIC_STONE_ItemExp, A stone harboring magical energy.,  UI,  0
SOZAI_OBSIDIAN_ItemName, Obsidian,  UI,  0
SOZAI_OBSIDIAN_ItemExp, A beautiful stone with a glassy luster.,  UI,  0
SOZAI_NATIVE_SILVER_ItemName, Native Silver,  UI,  0
SOZAI_NATIVE_SILVER_ItemExp, Silver found in the wild.,  UI,  0
SOZAI_METEORITE_ItemName, Meteorite,  UI,  0
SOZAI_METEORITE_ItemExp, A stone said to have fallen from the skies.,  UI,  0
SOZAI_SUPERALLOY_ItemName, Superalloy,  UI,  0
SOZAI_SUPERALLOY_ItemExp, A rigid, man-made alloy.,  UI,  0
