label, text, speaker, autoLineBreak
Btl_SOUL_MUSASHI_RoleName, Musashi,  UI,  0
Btl_SOUL_MUSASHI_RoleDescription, <emoji Slash>Slash Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_TOKI_RoleName, Sukune,  UI,  0
Btl_SOUL_TOKI_RoleDescription, <emoji Strike>Blunt Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_KOMACHI_RoleName, Komachi,  UI,  0
Btl_SOUL_KOMACHI_RoleDescription, Spell Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_BOU_RoleName, Boh,  UI,  0
Btl_SOUL_BOU_RoleDescription, <emoji Stab>Pierce Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0000_RoleName, Rockeater,  UI,  0
Btl_SOUL_M0000_RoleDescription, <emoji Slash>Slash Power +3% / Interrupt Evade Chance +25%,  UI,  0
Btl_SOUL_M0001_RoleName, Mad Phage,  UI,  0
Btl_SOUL_M0001_RoleDescription, <emoji Slash>Slash Power +3% / Interrupt Evade Chance +50%,  UI,  0
Btl_SOUL_M0001_B_RoleName, Land Hermit,  UI,  0
Btl_SOUL_M0001_B_RoleDescription, <emoji Slash>Slash Power +3% / Interrupt Evade Chance +50%,  UI,  0
Btl_SOUL_M0002_RoleName, Forest Hermit,  UI,  0
Btl_SOUL_M0002_RoleDescription, <emoji Slash>Slash Power +3% / Interrupt Evade Chance +75%,  UI,  0
Btl_SOUL_M0003_RoleName, Lightning Glutton,  UI,  0
Btl_SOUL_M0003_RoleDescription, <emoji Slash>Slash Power +3% / Interrupt Evade Chance +75%,  UI,  0
Btl_SOUL_M0010_RoleName, Werewolf,  UI,  0
Btl_SOUL_M0010_RoleDescription, Block Chance +3% / <emoji Fire>Heat Resistance +5%,  UI,  0
Btl_SOUL_M0011_RoleName, Hati,  UI,  0
Btl_SOUL_M0011_RoleDescription, Block Chance +3% / <emoji Fire>Heat Resistance +8%,  UI,  0
Btl_SOUL_M0012_RoleName, Skoll,  UI,  0
Btl_SOUL_M0012_RoleDescription, Block Chance +3% / <emoji Fire>Heat Resistance +10%,  UI,  0
Btl_SOUL_M0020_RoleName, War Hog,  UI,  0
Btl_SOUL_M0020_RoleDescription, <emoji Strike>Blunt Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0021_RoleName, Boar Infantry,  UI,  0
Btl_SOUL_M0021_RoleDescription, <emoji Strike>Blunt Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0022_RoleName, Porcine Charger,  UI,  0
Btl_SOUL_M0022_RoleDescription, <emoji Strike>Blunt Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0100_RoleName, Sephira,  UI,  0
Btl_SOUL_M0100_RoleDescription, Combo Rate +2% / Accuracy +30%,  UI,  0
Btl_SOUL_M0101_RoleName, Ishtar,  UI,  0
Btl_SOUL_M0101_RoleDescription, Combo Rate +2% / Accuracy +20%,  UI,  0
Btl_SOUL_M0102_RoleName, Valkyrie,  UI,  0
Btl_SOUL_M0102_RoleDescription, Combo Rate +1% / Accuracy +10%,  UI,  0
Btl_SOUL_M0110_RoleName, Earth Dragon,  UI,  0
Btl_SOUL_M0110_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,  UI,  0
Btl_SOUL_M0111_RoleName, Red Dragon,  UI,  0
Btl_SOUL_M0111_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,  UI,  0
Btl_SOUL_M0112_RoleName, Blue Dragon,  UI,  0
Btl_SOUL_M0112_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,  UI,  0
Btl_SOUL_M0113_RoleName, Dark Forest,  UI,  0
Btl_SOUL_M0113_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,  UI,  0
Btl_SOUL_M0114_RoleName, Gold Dragon,  UI,  0
Btl_SOUL_M0114_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Lightning>Shock Resistance +10%,  UI,  0
Btl_SOUL_M0115_RoleName, White Dragon,  UI,  0
Btl_SOUL_M0115_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Lightning>Shock Resistance +10%,  UI,  0
Btl_SOUL_M0120_RoleName, Puca,  UI,  0
Btl_SOUL_M0120_RoleDescription, Spell Power +3%,  UI,  0
Btl_SOUL_M0121_RoleName, Rascal,  UI,  0
Btl_SOUL_M0121_RoleDescription, <emoji Stab>Pierce Power +2% / Spell Power +3%,  UI,  0
Btl_SOUL_M0123_RoleName, Prankster,  UI,  0
Btl_SOUL_M0123_RoleDescription, <emoji Stab>Pierce Power +2% / Spell Power +3%,  UI,  0
Btl_SOUL_M0210_RoleName, Jumbo Moch,  UI,  0
Btl_SOUL_M0210_RoleDescription, <emoji Slash>Slash Power +3%,  UI,  0
Btl_SOUL_M0211_RoleName, Young Moch,  UI,  0
Btl_SOUL_M0211_RoleDescription, <emoji Slash>Slash Power +3%,  UI,  0
Btl_SOUL_M0212_RoleName, Elder Moch,  UI,  0
Btl_SOUL_M0212_RoleDescription, <emoji Slash>Slash Power +3%,  UI,  0
Btl_SOUL_M0220_RoleName, Sunflower,  UI,  0
Btl_SOUL_M0220_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +5%,  UI,  0
Btl_SOUL_M0221_RoleName, Amaranth,  UI,  0
Btl_SOUL_M0221_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +8%,  UI,  0
Btl_SOUL_M0222_RoleName, Asphodelus,  UI,  0
Btl_SOUL_M0222_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Fire>Heat Resistance +10%,  UI,  0
Btl_SOUL_M0230_RoleName, Alraune,  UI,  0
Btl_SOUL_M0230_RoleDescription, Status Ailment Resistance,  UI,  0
Btl_SOUL_M0231_RoleName, Galgenmannlein,  UI,  0
Btl_SOUL_M0231_RoleDescription, Status Ailment Resistance,  UI,  0
Btl_SOUL_M0232_RoleName, Passionroot,  UI,  0
Btl_SOUL_M0232_RoleDescription, Status Ailment Resistance,  UI,  0
Btl_SOUL_M0300_RoleName, Viper,  UI,  0
Btl_SOUL_M0300_RoleDescription, <emoji Stab>Pierce Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0301_RoleName, Basilisk,  UI,  0
Btl_SOUL_M0301_RoleDescription, <emoji Stab>Pierce Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0302_RoleName, Rattler,  UI,  0
Btl_SOUL_M0302_RoleDescription, <emoji Stab>Pierce Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0310_RoleName, Barghest,  UI,  0
Btl_SOUL_M0310_RoleDescription, Combo Rate +2% / <emoji Stab>Pierce Resistance +5%,  UI,  0
Btl_SOUL_M0311_RoleName, Padfoot,  UI,  0
Btl_SOUL_M0311_RoleDescription, Combo Rate +2% / <emoji Stab>Pierce Resistance +8%,  UI,  0
Btl_SOUL_M0312_RoleName, Failinis,  UI,  0
Btl_SOUL_M0312_RoleDescription, Combo Rate +2% / <emoji Stab>Pierce Resistance +10%,  UI,  0
Btl_SOUL_M0320_RoleName, Lizard Fortress,  UI,  0
Btl_SOUL_M0320_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Slash>Slash Resistance +5%,  UI,  0
Btl_SOUL_M0321_RoleName, Lizard Tyrant,  UI,  0
Btl_SOUL_M0321_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Slash>Slash Resistance +8%,  UI,  0
Btl_SOUL_M0322_RoleName, Carbonia,  UI,  0
Btl_SOUL_M0322_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Slash>Slash Resistance +10%,  UI,  0
Btl_SOUL_M0400_RoleName, Rana Warrior,  UI,  0
Btl_SOUL_M0400_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +5%,  UI,  0
Btl_SOUL_M0401_RoleName, Rana Combatant,  UI,  0
Btl_SOUL_M0401_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,  UI,  0
Btl_SOUL_M0401_B_RoleName, Megawhale Servant,  UI,  0
Btl_SOUL_M0401_B_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,  UI,  0
Btl_SOUL_M0402_RoleName, Red Rana,  UI,  0
Btl_SOUL_M0402_RoleDescription, <emoji Strike>Blunt Power +3%,  UI,  0
Btl_SOUL_M0403_RoleName, Yedoma,  UI,  0
Btl_SOUL_M0403_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,  UI,  0
Btl_SOUL_M0403_B_RoleName, Rana Conjurer,  UI,  0
Btl_SOUL_M0403_B_RoleDescription, <emoji Strike>Blunt Power +3% / <emoji Ice>Cold Resistance +10%,  UI,  0
Btl_SOUL_M0410_RoleName, Kraken,  UI,  0
Btl_SOUL_M0410_RoleDescription, <emoji Slash>Slash Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0411_RoleName, Verdigris,  UI,  0
Btl_SOUL_M0411_RoleDescription, <emoji Slash>Slash Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0412_RoleName, Scowl Squid,  UI,  0
Btl_SOUL_M0412_RoleDescription, <emoji Slash>Slash Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0413_RoleName, Gargantua,  UI,  0
Btl_SOUL_M0413_RoleDescription, <emoji Slash>Slash Power +3% / Status Ailment Resistance,  UI,  0
Btl_SOUL_M0420_RoleName, Blue Drake,  UI,  0
Btl_SOUL_M0420_RoleDescription, <emoji Slash>Slash Resistance +10%,  UI,  0
Btl_SOUL_M0421_RoleName, Petros Drake,  UI,  0
